SA4_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
401,4558,651,56,24,3610,337,9233,4310,1781,198,91,4241,499,11121,6367,6067,1121,368,5521,1104,20544,4852,7548,2198,717,3369,902,19588,5216,7965,2077,700,2978,818,19748,4765,6968,1934,686,3298,696,18354,3099,5401,2245,990,3308,586,15626,1536,2590,1214,634,2549,428,8954,457,607,296,169,1645,255,3430,35161,39582,11337,4379,30524,5623,126599,4663,945,75,34,2990,360,9066,4096,2630,386,161,3120,449,10838,4484,6894,2370,2000,4028,881,20652,2284,7041,4753,3878,2170,612,20730,2325,8059,5032,2716,1873,635,20641,2329,7486,4553,2400,2390,581,19746,1420,5129,4481,3017,3040,643,17732,1017,2431,2173,1798,3079,591,11090,619,902,471,344,2989,483,5804,23218,41510,24295,16344,25684,5232,136278,9218,1596,129,55,6597,698,18294,8400,4410,588,253,7364,943,21957,10849,12957,3489,2365,9546,1978,41193,7134,14589,6951,4591,5539,1516,40315,7539,16026,7107,3416,4848,1446,40385,7091,14457,6490,3090,5692,1278,38099,4517,10532,6727,3998,6353,1229,33358,2551,5016,3385,2431,5630,1022,20042,1075,1508,759,517
402,5452,1042,95,49,6478,697,13806,5259,2490,348,150,6876,854,15974,9100,8691,1842,831,11346,2014,33827,7425,10043,2780,1334,8146,1848,31580,6738,8978,2364,951,7109,1447,27595,5908,7711,2296,1035,7176,1087,25199,3291,5255,2195,1317,6117,907,19080,1472,2237,1353,779,4074,626,10533,437,498,255,211,1791,373,3569,45082,46944,13525,6652,59106,9848,181160,5354,1512,221,71,5005,669,12833,4391,3355,829,525,4630,654,14386,5136,9685,4479,5063,7663,1646,33671,3021,9474,6134,6059,5139,1389,31216,3168,9764,5469,3579,4682,1129,27790,2894,8533,5117,3464,5676,984,26664,1623,4808,4389,3649,5880,945,21282,1080,2254,1936,1762,4847,914,12799,586,687,332,322,2996,640,5557,27251,50065,28904,24486,46521,8961,186196,10803,2554,314,122,11482,1366,26643,9645,5851,1175,672,11504,1506,30363,14239,18375,6321,5887,19015,3656,67498,10445,19516,8916,7396,13279,3240,62792,9912,18740,7840,4529,11787,2576,55385,8795,16240,7414,4496,12854,2064,51867,4911,10058,6585,4959,12003,1848,40363,2552,4492,3287,2540,8913,1535,23332,1024,1179,590,534
403,5342,737,59,14,4346,409,10911,4595,1752,213,92,4075,455,11183,7254,7152,1409,525,5712,1033,23077,5960,9217,2574,990,3879,965,23593,6096,9185,2399,879,4021,966,23546,5624,8270,2289,900,4581,850,22516,3681,6504,2935,1305,4974,746,20143,1661,2841,1495,848,3556,547,10946,488,651,300,244,1896,317,3897,40695,46312,13667,5796,37031,6296,149800,5333,991,101,38,3572,358,10392,4361,2766,494,270,2771,385,11045,4661,8293,3171,2948,3782,877,23736,2703,8935,5835,4668,2396,823,25353,2967,9976,5441,2924,2510,776,24597,3067,9385,5207,2885,3630,776,24956,1758,5983,5529,3905,4833,822,22829,1127,2511,2389,2012,4043,730,12801,695,869,524,355,3476,564,6486,26675,49712,28685,20006,31011,6115,162191,10668,1727,160,54,7919,767,21302,8956,4518,704,363,6835,844,22229,11911,15447,4575,3471,9490,1908,46809,8658,18154,8406,5662,6275,1792,48951,9067,19160,7842,3808,6531,1739,48143,8689,17657,7497,3781,8208,1630,47464,5435,12488,8465,5204,9802,1572,42973,2788,5350,3882,2862,7601,1273,23747,1183,1524,820,591
404,2587,394,36,9,2912,272,6220,2931,1357,147,64,3435,382,8317,5646,5362,942,342,5923,963,19172,4060,5639,1465,567,3701,740,16161,3972,5181,1366,485,3657,690,15350,3612,4898,1338,559,4110,666,15181,2049,3239,1332,661,3510,440,11238,1032,1430,752,353,2396,330,6287,361,396,235,147,1523,172,2831,26252,27897,7605,3186,31165,4654,100761,2584,656,55,21,2316,196,5825,2860,2112,333,172,2382,341,8198,3991,6291,2163,1875,3929,794,19037,1910,5383,3356,2751,2385,650,16428,2029,5681,3140,1926,2514,522,15807,1870,5446,3020,1905,3012,539,15794,1103,3164,2701,2034,3333,482,12810,773,1606,1366,1131,2794,475,8146,507,617,352,246,2669,293,4690,17621,30964,16489,12058,25343,4288,106759,5168,1054,92,33,5230,471,12052,5791,3478,485,238,5815,720,16525,9630,11651,3097,2220,9854,1755,38206,5968,11018,4820,3314,6084,1388,32592,6005,10858,4504,2409,6167,1215,31160,5483,10338,4354,2460,7128,1209,30976,3150,6406,4029,2695,6842,921,24047,1806,3037,2119,1490,5193,800,14441,868,1013,589,390
405,1426,278,28,10,1123,277,3136,995,499,72,27,865,172,2631,1582,1631,404,191,1179,359,5336,1403,2029,649,241,914,417,5657,1782,2361,709,316,1307,512,6985,2051,2826,958,529,2103,596,9062,1416,2300,1257,806,2333,544,8663,592,935,586,505,1599,393,4609,136,201,101,106,633,154,1332,11390,13054,4769,2726,12063,3421,47417,1378,360,60,24,788,222,2833,722,682,176,110,521,133,2353,715,1675,886,1110,634,339,5351,475,1971,1396,1401,480,344,6073,750,2694,1576,1108,740,436,7307,832,2814,2055,1469,1310,517,8997,520,1788,1842,1868,1835,526,8383,294,745,738,944,1647,425,4797,155,248,151,124,1080,224,1977,5836,12979,8881,8156,9038,3172,48067,2806,632,87,32,1913,497,5968,1716,1183,249,137,1385,310,4985,2294,3309,1288,1293,1806,700,10690,1883,4000,2047,1645,1393,759,11731,2534,5047,2290,1419,2049,948,14294,2888,5640,3011,1999,3408,1120,18061,1935,4091,3099,2681,4172,1075,17043,887,1682,1325,1450,3251,816,9401,293,447,253,223
406,965,224,33,13,897,241,2367,665,371,77,31,788,294,2224,1211,1473,358,174,1526,825,5557,1080,1497,477,234,993,684,4970,1272,1627,475,216,1199,670,5458,1244,1752,554,293,1606,541,5990,752,1135,577,369,1401,387,4623,297,462,272,230,926,259,2443,87,93,57,48,345,100,723,7571,8634,2866,1613,9681,3996,34373,851,276,40,22,681,246,2117,456,634,155,111,513,167,2034,646,1594,820,958,842,449,5319,394,1439,1004,927,583,377,4716,559,1836,1077,652,737,433,5303,519,1656,1174,718,1034,410,5505,255,880,874,864,1117,342,4329,192,407,386,406,917,245,2553,99,127,78,72,534,130,1032,3968,8844,5604,4733,6961,2796,32906,1816,503,74,33,1576,487,4487,1119,1001,232,140,1304,458,4259,1861,3061,1177,1138,2365,1280,10875,1471,2936,1483,1162,1578,1059,9685,1835,3466,1551,867,1934,1107,10764,1765,3404,1726,1014,2639,950,11494,1002,2017,1449,1232,2519,728,8955,486,864,659,637,1839,505,4997,183,219,123,116
407,2400,444,47,12,1995,468,5365,1589,839,112,53,1585,407,4590,2693,2756,672,317,2319,1074,9832,2332,3294,1010,511,1764,1125,10039,2988,3973,1200,522,2274,1072,12035,3411,4347,1475,716,3142,1059,14148,2486,4022,2046,1235,3853,1019,14666,1134,1912,1074,733,2576,682,8115,292,368,232,152,1129,257,2432,19320,21969,7879,4248,20644,7167,81231,2246,653,67,27,1463,398,4861,1190,1187,304,218,893,271,4070,1253,2981,1637,1796,1276,608,9551,860,3243,2249,2157,912,598,10023,1282,4412,2654,1562,1367,722,11996,1476,4846,3249,2033,2117,799,14523,932,3176,3484,2989,3059,935,14571,629,1445,1464,1499,2738,742,8516,331,439,290,219,1832,439,3549,10200,22385,15400,12507,15660,5495,81655,4647,1099,117,39,3462,864,10226,2774,2035,411,275,2485,676,8662,3943,5735,2312,2114,3596,1678,19380,3192,6544,3266,2665,2673,1720,20059,4273,8384,3856,2091,3639,1794,24037,4889,9192,4724,2745,5266,1854,28670,3417,7198,5534,4223,6908,1949,29238,1761,3355,2542,2232,5319,1422,16630,617,808,527,372
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,17,4,0,0,28,17,74,20,12,3,3,49,24,108,53,34,10,6,126,88,320,48,31,8,5,99,95,289,40,36,20,6,109,98,299,52,55,14,11,81,99,311,30,44,7,15,74,48,214,9,7,0,0,11,5,40,0,0,4,0,0,0,7,264,226,62,49,584,474,1668,23,20,3,0,40,20,112,17,26,8,4,34,19,95,61,65,18,19,64,77,305,32,51,19,23,41,86,245,28,46,20,12,20,50,178,44,55,28,10,32,27,197,21,30,16,18,44,17,141,4,4,0,5,10,0,26,0,3,0,0,3,0,10,223,302,119,89,284,291,1306,39,29,3,0,73,39,186,34,40,12,5,79,40,206,112,102,26,30,191,160,627,78,82,26,26,136,179,534,69,78,35,16,135,145,478,96,112,43,23,109,128,513,52,78,24,30,113,62,359,12,12,4,7,22,10,64,0,3,0,0
501,2562,446,41,17,2159,366,5592,1451,754,121,36,1484,324,4170,2721,2571,542,269,2586,1059,9749,2781,3834,1073,499,2211,1151,11545,3073,4159,1154,467,2436,1217,12512,2943,3984,1197,630,2804,944,12506,2039,3244,1591,969,2874,788,11501,830,1301,739,551,1765,463,5652,192,261,143,111,659,232,1602,18585,20560,6600,3555,18980,6542,74828,2589,666,79,26,1643,370,5373,1021,1056,251,199,991,267,3777,1412,2948,1457,2121,1608,661,10211,1055,3868,2686,2945,1219,716,12489,1411,4822,2736,1883,1454,732,13035,1337,4335,2890,2132,1938,738,13371,793,2583,2584,2497,2433,703,11586,475,1052,1020,1145,1770,546,5999,263,316,208,169,1067,351,2381,10351,21645,13908,13128,14119,5087,78232,5149,1109,118,48,3808,736,10963,2471,1807,367,235,2473,590,7948,4133,5526,1999,2398,4195,1716,19963,3841,7701,3757,3442,3437,1862,24032,4480,8981,3897,2356,3883,1950,25548,4278,8321,4089,2766,4743,1686,25879,2827,5825,4172,3465,5303,1493,23091,1298,2354,1758,1697,3527,1008,11650,454,580,350,278
502,1304,251,34,17,1222,188,3015,809,406,59,29,1120,209,2623,1306,1368,295,175,1557,472,5171,1286,1654,458,282,1400,574,5653,1487,1894,490,270,1595,579,6312,1499,1947,621,340,1896,465,6760,1124,1929,921,547,2215,426,7166,625,1055,570,396,1510,336,4504,156,201,100,109,566,177,1301,9602,10698,3551,2160,13068,3430,42513,1251,354,53,24,1094,190,2971,756,663,176,126,781,182,2686,748,1568,803,1273,978,350,5715,585,1827,1209,1465,801,362,6255,751,2459,1237,972,1039,373,6833,776,2368,1551,1128,1392,349,7565,501,1637,1550,1607,2061,373,7731,382,768,743,822,1619,410,4746,181,208,128,125,829,328,1794,5938,11862,7449,7531,10599,2920,46298,2559,611,88,41,2311,380,5986,1564,1059,232,156,1901,391,5306,2053,2939,1096,1439,2535,824,10886,1870,3476,1669,1750,2206,932,11904,2242,4355,1728,1240,2638,954,13147,2270,4322,2173,1465,3287,814,14327,1632,3575,2475,2158,4272,802,14903,1008,1825,1318,1218,3132,743,9248,333,407,234,227
503,2519,352,20,25,1950,171,5030,2410,1067,96,57,2302,419,6339,5112,4176,528,205,4197,1336,15555,3635,4705,1088,370,2539,898,13230,3344,4404,998,351,1798,682,11574,2858,3786,820,298,1781,578,10124,1724,2784,916,306,1792,493,8013,825,1271,532,223,1254,340,4440,228,301,140,61,716,196,1644,22660,22833,5131,1895,18332,5106,75953,2712,499,37,14,1679,204,5143,2808,1680,189,73,1755,431,6927,4251,5144,1156,1009,3132,972,15671,1853,4071,2524,2440,1500,592,12980,1444,4369,2707,1777,1053,430,11778,1412,3963,2236,1159,1133,417,10317,790,2451,2010,1187,1519,451,8401,434,1066,990,738,1321,366,4927,305,412,250,176,1290,332,2769,16007,23655,12100,8564,14373,4202,78909,5230,850,60,36,3625,373,10172,5212,2741,281,123,4056,853,13265,9364,9325,1688,1207,7327,2310,31226,5488,8771,3608,2809,4039,1495,26204,4786,8772,3702,2130,2855,1109,23348,4272,7748,3060,1458,2911,994,20445,2519,5230,2924,1489,3315,938,16415,1262,2339,1521,964,2575,704,9364,538,712,388,231
504,3568,649,61,26,3532,418,8253,2852,1253,159,64,3592,662,8574,5637,5295,956,438,5961,2060,20355,4881,6511,1604,722,4879,1894,20498,4367,5771,1383,613,4301,1478,17925,3724,4835,1263,613,4344,1085,15859,1968,3200,1335,733,3535,580,11344,831,1322,663,455,2077,421,5771,254,222,122,95,799,228,1725,28085,29061,7542,3777,33019,8825,110313,3410,855,102,60,2773,364,7566,2681,1930,361,239,2347,438,7993,3697,6250,2581,3079,4109,1181,20893,2219,6170,3832,3956,3082,978,20243,2169,6546,3488,2458,2889,821,18368,1847,5168,3142,2212,3261,643,16277,986,2806,2409,2241,3185,546,12181,600,1207,968,1022,2178,494,6469,295,372,217,157,1350,381,2763,17903,31306,17098,15433,25166,5854,112749,6975,1504,164,91,6304,782,15820,5538,3183,511,305,5931,1101,16571,9331,11547,3540,3515,10073,3243,41245,7107,12689,5433,4682,7954,2874,40744,6539,12313,4873,3076,7189,2299,36289,5572,10011,4402,2823,7605,1732,32139,2949,6007,3748,2978,6722,1121,23530,1432,2533,1632,1479,4256,916,12238,552,593,337,253
505,7946,1122,94,42,7877,693,17773,6400,2397,276,124,7394,987,17578,11429,9927,1699,736,11983,2647,38421,11129,13741,3233,1333,9081,2572,41088,10398,12962,2912,1082,8559,2216,38118,8203,10309,2477,1061,8120,1632,31802,4759,7390,2872,1371,6857,978,24220,1898,3027,1539,878,4472,763,12573,557,707,313,223,1946,417,4162,62713,61575,15410,6859,66274,12908,225736,7987,1584,151,48,6225,671,16665,6287,3632,637,361,5239,769,16927,8069,12754,4779,5268,8059,2047,40983,4689,13613,8598,8472,5918,1745,43031,4652,14441,8226,5136,5531,1402,39387,4008,11724,6671,4339,6081,1161,33981,2156,6681,5946,4635,6658,1099,27168,1322,2947,2483,2233,5061,1050,15091,739,957,494,348,3471,753,6762,39910,68335,37983,30833,52236,10702,239995,15928,2707,238,92,14100,1363,34435,12692,6035,911,486,12634,1760,34506,19499,22686,6477,6005,20039,4698,79404,15818,27353,11837,9804,15000,4320,84122,15049,27397,11134,6217,14086,3617,77506,12206,22034,9154,5397,14202,2796,65784,6916,14066,8818,6006,13514,2070,51388,3219,5973,4020,3115,9523,1811,27668,1297,1664,808,571
506,6754,1403,96,56,6477,812,15601,6179,2855,369,135,7716,1343,18590,10978,9714,1728,775,13539,3505,40243,9709,12432,3191,1459,10462,3062,40310,8143,10459,2482,1122,8437,2429,33073,6661,8373,2223,1033,7586,1757,27636,3835,6066,2626,1384,6336,1064,21303,1606,2502,1243,782,3902,756,10792,438,546,239,182,1603,529,3540,54296,54348,14202,6936,66050,15259,211086,6403,1992,210,77,5453,710,14847,5606,4160,829,518,5308,987,17408,7146,11206,4632,5476,9610,2514,40585,4054,11488,7335,8115,7067,2023,40074,3635,10992,6217,4720,5387,1499,32455,3162,9037,5400,4131,5688,1221,28644,1814,5397,4753,4242,5875,1071,23153,1109,2262,1959,1917,4134,1048,12428,582,757,363,289,2664,960,5616,33504,57296,31696,29484,51190,12032,215211,13153,3400,305,135,11927,1524,30444,11781,7010,1202,652,13023,2337,35999,18123,20917,6361,6255,23149,6022,80825,13760,23918,10526,9569,17528,5083,80385,11777,21453,8700,5844,13828,3923,65525,9827,17414,7622,5166,13269,2978,56276,5645,11458,7375,5624,12214,2134,44457,2720,4763,3202,2701,8037,1803,23222,1020,1304,602,471
507,6137,955,74,34,5593,668,13464,4849,1954,232,113,5396,1032,13576,8518,7892,1379,606,8384,2741,29517,7776,10205,2682,1144,6673,2590,31073,7596,9591,2258,1007,6375,1986,28818,6105,8110,2086,911,6204,1444,24857,3335,5551,2291,1145,5334,937,18600,1542,2404,1159,734,3486,705,10027,420,585,270,203,1490,455,3417,46275,47249,12432,5900,48929,12558,173340,6200,1387,142,71,4599,596,12995,4769,3198,621,418,3693,704,13401,5597,9851,3885,4513,5311,1639,30801,3433,10185,6604,6809,4097,1358,32489,3420,10869,6175,4269,4017,1188,29928,3040,8963,5147,3560,4660,992,26356,1669,5026,4245,3745,5059,919,20661,906,2199,1831,1722,3770,907,11331,579,715,414,305,2510,823,5338,29602,52384,29068,25413,37716,9124,183300,12332,2345,224,110,10192,1256,26454,9611,5154,857,525,9094,1740,26979,14113,17741,5264,5126,13688,4383,60317,11203,20394,9289,7950,10767,3952,63557,11020,20457,8433,5276,10387,3173,58745,9145,17067,7232,4471,10866,2429,51211,5004,10575,6537,4891,10392,1855,39261,2445,4602,2984,2458,7255,1615,21356,996,1297,678,509
509,1554,355,39,32,1463,428,3866,1031,524,91,29,1054,370,3099,1951,1759,411,204,1702,1025,7044,1969,2263,624,330,1340,1063,7586,2312,2716,701,360,1858,1089,9033,2561,3085,955,546,2440,1110,10696,1762,2564,1133,861,2536,888,9744,745,1037,576,471,1520,537,4891,191,230,123,102,559,210,1416,14081,14526,4654,2929,14469,6718,57378,1482,469,63,22,1058,362,3451,619,777,213,170,583,250,2607,823,1931,966,1527,928,597,6776,655,2246,1665,1781,675,672,7693,894,3221,1889,1316,990,805,9105,993,3318,2265,1681,1440,812,10511,599,1849,1897,2084,1819,767,9010,364,805,781,947,1385,549,4831,212,237,163,147,835,296,1888,6636,14854,9903,9676,9713,5112,55894,3036,821,104,58,2522,788,7320,1656,1299,304,198,1637,623,5712,2770,3684,1374,1731,2627,1623,13823,2622,4508,2290,2110,2015,1737,15284,3206,5933,2587,1673,2841,1894,18137,3553,6406,3220,2232,3887,1922,21212,2360,4414,3028,2944,4357,1653,18757,1107,1840,1358,1418,2905,1092,9724,403,475,283,255
510,774,254,46,26,966,460,2526,689,403,109,48,870,607,2731,1917,1842,408,226,2331,1990,8719,1855,2197,629,313,1821,1869,8683,1434,1674,407,233,1675,1523,6944,1141,1136,297,161,1348,1114,5191,342,396,150,98,576,363,1923,80,92,34,27,181,100,508,16,8,4,0,44,14,91,8233,7994,2081,1141,9812,8040,37300,819,326,72,39,654,395,2308,577,587,182,137,598,457,2534,1316,2194,918,1069,1434,1433,8365,790,2115,1145,1179,943,1115,7284,715,1642,828,500,835,859,5377,537,1163,447,320,747,621,3837,174,350,209,168,371,247,1524,52,80,52,41,136,85,448,8,11,0,3,52,29,113,4983,8467,3867,3455,5777,5243,31785,1591,586,120,65,1619,852,4829,1260,989,297,186,1467,1069,5265,3237,4041,1321,1299,3763,3418,17080,2646,4310,1775,1491,2765,2977,15963,2150,3310,1234,729,2509,2384,12321,1669,2294,744,484,2094,1741,9031,512,744,358,268,953,606,3443,127,173,89,67,321,184,949,22,19,9,10
511,1309,293,47,13,1311,469,3438,949,548,97,38,1256,629,3514,2005,1956,393,192,2160,1578,8276,1883,2205,579,293,1630,1391,7976,1898,2399,616,271,1938,1368,8504,1803,2289,643,350,2223,1147,8448,962,1431,634,455,1796,716,5993,366,531,291,241,981,412,2813,89,97,61,52,315,114,734,11264,11750,3353,1894,13603,7831,49699,1175,427,58,32,1001,425,3120,727,813,215,171,802,429,3161,1075,2084,1056,1345,1185,934,7681,639,2234,1435,1437,902,960,7608,821,2688,1439,907,1064,841,7762,694,2212,1351,1084,1382,768,7475,360,1101,1004,1060,1267,576,5369,234,419,376,461,863,364,2732,95,143,70,71,452,174,1015,5818,12126,7008,6566,8922,5478,45919,2482,724,103,45,2313,888,6553,1674,1359,315,206,2052,1060,6674,3076,4039,1448,1536,3343,2511,15956,2521,4436,2014,1729,2530,2347,15584,2718,5088,2057,1179,3009,2214,16262,2496,4504,1986,1428,3599,1909,15931,1316,2536,1632,1514,3064,1300,11367,610,949,670,701,1844,777,5542,186,240,136,122
597,0,0,0,0,3,7,7,0,0,0,0,15,13,25,4,3,0,0,46,44,99,14,7,3,9,57,68,157,5,4,0,0,47,46,103,0,3,5,4,23,20,55,0,0,0,0,6,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,4,8,196,195,455,0,0,0,0,0,0,3,0,0,0,0,3,5,11,3,0,0,0,8,4,14,0,0,0,0,3,3,11,0,0,0,0,5,8,9,0,0,3,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,19,21,61,0,0,0,0,5,3,6,0,0,0,0,16,15,31,6,3,0,0,51,47,116,12,7,5,9,62,76,170,5,4,0,0,51,51,109,0,3,4,4,25,21,62,0,0,0,0,9,3,18,0,0,0,0,0,0,0,0,0,0,0
599,27,15,4,0,34,45,118,47,25,5,4,88,131,295,112,95,28,15,180,390,822,97,101,28,24,143,529,926,80,66,19,8,143,514,842,74,84,17,12,148,338,667,62,60,17,17,139,145,444,3,17,7,3,33,48,118,0,0,0,0,6,9,14,498,464,132,85,912,2151,4247,28,17,7,5,38,59,147,49,39,11,7,45,105,256,98,94,39,46,145,268,692,50,97,44,68,71,279,613,47,63,41,18,73,228,468,63,112,36,26,77,160,477,31,64,20,18,87,89,316,0,4,4,0,15,14,38,0,0,0,0,8,12,16,372,501,204,191,559,1211,3030,54,30,7,5,71,104,261,91,67,17,13,135,234,562,211,189,64,64,331,657,1512,151,201,77,94,218,809,1543,128,137,65,35,216,737,1313,135,196,52,37,225,495,1144,94,127,44,37,220,237,758,10,19,9,3,50,61,155,4,0,0,0
