SA3_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
80105,7129,12832,12690,7922,6277,4978,3486,1959,1020,58296,9,24,12,11,12,8,11,7,8,101,46,384,185,141,140,171,89,21,5,1173,5,125,58,36,27,48,15,0,0,312,3,71,56,42,45,37,22,0,0,279,0,27,7,3,11,8,9,0,0,66,0,34,23,12,8,5,5,0,0,88,4,13,7,3,16,10,6,0,0,65,0,0,12,0,3,0,0,0,0,20,98,259,274,149,109,87,57,27,14,1086,0,0,0,0,0,0,0,0,0,0,152,910,624,397,362,361,209,52,14,3089,163,935,640,400,378,372,212,62,29,3188,7290,13769,13331,8325,6649,5351,3704,2019,1045,61479
80106,4223,3331,5167,4261,4084,3632,2971,1658,819,30143,3,4,0,4,0,9,5,0,0,23,51,149,181,86,144,128,104,31,9,883,4,15,50,26,35,30,16,0,0,179,5,17,19,27,33,23,9,0,0,134,0,4,9,8,8,9,8,4,0,48,8,3,15,8,8,22,4,3,0,67,0,4,3,0,4,9,9,0,0,34,0,0,0,4,0,0,0,0,0,8,75,156,140,88,75,81,29,35,13,694,0,0,0,0,0,0,0,0,0,0,142,341,415,241,320,307,181,71,27,2041,146,347,415,247,319,315,183,73,26,2068,4364,3671,5581,4506,4404,3944,3154,1735,849,32212
80107,16883,10112,11759,11897,11404,11229,8362,3663,1214,86530,6,7,4,0,9,5,16,9,0,54,42,104,104,79,76,82,64,34,16,599,0,8,9,15,3,12,6,4,0,54,3,3,17,12,16,21,15,4,0,88,0,5,0,0,0,6,3,7,0,23,0,5,0,0,4,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,180,210,192,168,124,81,50,29,11,1048,0,0,0,0,0,0,0,0,0,0,226,330,324,272,223,199,139,79,34,1828,235,337,328,274,229,213,156,88,39,1886,17118,10453,12087,12174,11633,11439,8511,3753,1247,88416
80108,4697,2458,2546,3361,3373,2451,2432,1806,652,23777,4,0,0,0,0,0,3,9,0,17,11,25,24,22,12,28,39,13,0,179,0,0,6,6,0,11,9,0,0,31,4,0,7,8,0,0,3,0,0,21,0,0,0,0,0,0,3,0,0,4,6,0,0,0,0,3,4,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,45,49,46,46,27,23,15,10,13,277,0,0,0,0,0,0,0,0,0,0,62,76,85,72,43,71,71,24,17,531,65,78,83,74,43,69,77,33,18,548,4763,2536,2629,3437,3420,2520,2505,1835,669,24328
80109,6607,4143,5798,5357,4827,4126,3141,2591,1179,37756,3,0,3,3,3,3,6,3,3,39,33,88,80,44,60,77,101,38,26,547,0,7,16,10,8,5,10,0,0,57,0,3,13,7,5,14,9,6,0,61,0,3,0,0,0,8,7,4,0,20,3,0,0,3,0,0,6,0,0,16,0,5,0,0,0,3,4,0,0,15,6,0,3,0,0,0,0,0,0,8,74,101,143,87,100,70,81,112,98,867,0,0,0,0,0,0,0,0,0,0,115,213,252,156,175,179,219,162,120,1596,121,211,263,164,180,181,224,166,128,1627,6727,4348,6058,5517,5006,4300,3364,2756,1303,39387
80110,2631,1180,2844,2479,1049,566,297,80,17,11151,4,0,3,0,0,0,0,0,0,5,3,8,14,10,17,10,0,0,0,59,0,4,5,0,0,3,5,0,0,17,0,5,0,0,0,0,3,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,30,38,13,8,12,9,4,0,131,0,0,0,0,0,0,0,0,0,0,21,43,60,23,23,21,16,8,0,224,23,48,64,24,23,21,16,8,0,224,2651,1233,2904,2504,1073,587,319,84,17,11380
80111,157,73,84,99,82,67,40,11,4,614,0,0,0,0,0,0,0,0,0,0,0,5,10,3,0,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,8,11,4,0,3,3,0,0,38,5,8,11,4,0,3,3,0,0,38,158,78,100,103,83,75,45,11,7,647
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101,279,121,314,264,250,183,165,31,4,1598,0,6,0,0,3,0,0,0,0,9,0,0,4,12,11,0,0,0,0,30,0,8,8,0,0,0,0,0,0,13,0,4,18,10,20,8,4,0,0,55,0,0,0,0,7,0,0,0,0,10,8,21,39,33,30,71,38,15,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,3,0,0,5,0,0,0,10,9,26,72,54,70,82,40,15,0,374,9,29,79,54,68,82,47,16,0,380,280,155,392,321,318,264,205,42,4,1979
90102,123,41,61,74,54,106,53,32,10,546,4,0,0,7,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,18,7,20,36,35,13,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,8,7,18,7,31,36,41,13,0,147,8,11,18,10,31,36,41,13,0,160,128,52,77,84,76,143,89,42,10,709
90103,56,44,35,35,47,29,27,16,0,294,0,0,0,0,0,0,0,0,0,0,0,22,28,8,3,5,0,0,0,59,0,16,12,0,0,0,0,0,0,25,0,14,14,0,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,4,0,13,8,0,0,0,0,0,0,20,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,7,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,59,66,12,9,3,0,0,0,155,0,59,66,12,9,3,0,0,0,155,60,98,98,49,56,38,27,16,0,452
90104,336,170,154,236,284,394,291,162,44,2061,7,3,0,3,4,3,7,0,0,23,0,3,7,8,4,8,13,0,0,28,0,0,0,0,0,0,5,0,0,6,4,0,4,0,15,38,36,14,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,0,0,0,0,0,0,0,0,6,4,8,3,3,5,0,7,0,0,32,14,12,17,9,25,52,52,18,0,200,13,16,13,12,32,53,55,18,0,223,346,185,170,247,312,450,343,187,47,2283
99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
