SED_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
SED40045,0,0,0,6,0,0,0,0,0,8,5,16,38,132,42,26,20,6,0,279,0,0,0,0,0,4,3,0,0,8,0,0,0,0,0,0,0,0,0,7,9,45,112,160,256,289,262,162,88,1380,0,0,0,0,0,0,0,0,0,9,0,7,5,17,11,7,0,0,0,46,0,0,3,22,20,24,46,26,19,160,0,0,0,0,0,0,13,10,0,33,4,3,7,16,7,5,5,0,0,42,0,9,18,57,28,15,3,8,8,147,0,6,5,15,4,5,0,5,0,32,0,0,5,26,5,7,0,0,0,43,0,0,0,0,0,0,0,0,0,6,0,0,0,8,8,9,3,5,4,39,0,0,0,4,5,8,23,8,5,46,0,0,3,14,8,4,0,5,0,38,0,0,10,17,18,3,0,0,0,44,0,5,4,4,7,3,3,4,0,24,0,0,9,23,22,16,15,9,4,95
SED40046,0,0,0,8,0,4,0,0,0,13,0,7,37,196,36,39,23,6,11,338,0,0,0,9,5,5,9,7,3,42,3,7,3,22,4,3,10,3,3,56,0,12,23,68,64,106,74,53,18,419,0,0,0,5,3,3,0,0,0,20,0,0,0,5,0,3,0,0,0,18,0,6,0,16,5,5,21,15,5,72,0,0,14,14,13,55,144,225,115,575,0,3,18,30,3,6,3,0,0,63,11,72,147,632,44,37,21,6,0,967,0,3,5,28,4,5,0,0,0,49,0,5,6,16,10,3,6,0,0,45,0,0,0,11,0,4,0,0,0,19,0,0,0,6,6,9,0,5,0,26,0,3,0,12,10,46,124,149,122,460,0,0,6,19,10,0,0,0,0,36,0,3,10,36,12,0,0,0,0,61,0,0,0,0,0,5,4,4,0,17,0,0,19,68,11,19,4,5,0,135
SED40047,0,0,0,3,0,6,3,0,0,10,0,4,9,79,18,23,13,0,0,150,0,0,0,0,10,4,16,10,0,51,0,0,0,0,0,0,0,4,0,5,0,7,40,101,167,479,356,275,104,1535,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,14,40,25,16,113,0,0,0,0,0,15,15,16,3,45,0,0,0,9,5,3,0,0,0,27,0,54,43,299,32,11,15,3,3,462,0,0,0,11,4,0,4,0,0,20,0,9,9,22,10,6,4,0,0,69,0,7,8,7,8,0,0,0,0,32,0,7,3,5,3,6,6,3,4,40,0,0,0,0,6,25,44,27,12,119,0,0,0,9,10,4,3,0,0,23,0,7,3,27,15,0,0,0,0,59,0,6,0,12,3,11,3,0,0,29,0,20,8,28,19,16,13,0,0,99
SED49494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,11,6,18,11,6,0,64,0,0,0,0,0,0,0,0,0,4,0,0,3,7,0,0,0,0,0,9,0,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,11,0,0,4,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SED49797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED50106,0,0,0,0,0,0,0,0,0,0,0,0,3,29,8,15,5,0,0,50,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,11,31,131,184,364,342,303,126,1499,0,0,0,0,5,0,0,0,0,3,0,0,0,9,3,0,0,0,0,14,0,0,4,27,19,13,46,23,10,133,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,4,0,0,0,9,0,0,0,32,7,4,10,3,0,65,0,0,4,26,9,3,13,0,0,54,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,8,4,10,3,35,0,0,0,5,5,3,11,21,10,64,0,0,0,7,3,9,0,0,0,18,0,0,3,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,3,4,5,0,33
SED50202,0,0,0,10,0,9,6,0,0,23,0,3,0,31,22,12,8,0,0,84,0,0,0,0,0,0,0,3,3,7,0,0,4,4,0,0,0,0,0,12,0,14,48,231,252,574,440,322,119,2008,0,0,3,6,0,3,0,0,0,14,0,0,0,8,3,3,0,0,0,18,0,0,4,25,12,13,24,28,9,120,0,0,0,0,0,0,0,0,0,7,0,0,0,8,5,0,0,0,0,16,0,52,42,465,61,35,41,26,6,731,0,5,18,67,31,17,4,0,0,156,0,10,3,14,5,4,0,0,0,28,0,0,0,13,0,0,0,3,0,26,0,0,0,17,5,12,16,9,4,67,0,0,0,12,0,11,16,17,6,59,0,6,4,16,5,5,5,4,0,40,0,8,0,14,3,0,0,0,0,31,0,0,0,4,3,3,0,0,0,14,0,0,13,47,38,35,36,11,0,181
SED50304,0,0,4,14,6,0,3,7,0,36,0,10,27,205,64,63,34,14,3,425,0,0,5,12,11,20,48,35,25,159,0,3,0,0,0,8,9,7,0,35,0,17,45,242,114,159,118,90,40,824,0,0,0,4,0,4,3,0,0,10,0,0,7,22,5,11,0,0,0,49,0,0,0,32,5,11,21,11,3,82,0,0,0,5,0,13,44,57,43,170,0,7,8,47,15,13,15,4,4,103,13,62,116,689,69,59,45,26,12,1079,0,4,10,76,19,12,9,0,0,131,0,7,4,83,15,21,8,3,0,138,0,3,10,37,14,7,8,0,0,80,0,6,9,166,8,14,9,13,3,236,0,3,5,82,30,54,249,238,163,826,0,0,7,43,40,11,5,0,0,120,0,0,3,47,14,3,0,0,0,65,0,0,0,5,3,3,0,0,0,14,0,3,17,138,52,47,47,17,0,329
SED50405,0,0,0,6,0,6,0,0,0,10,0,0,8,56,23,12,8,0,0,106,0,0,0,7,6,4,0,3,0,24,0,5,0,8,0,3,0,0,0,17,4,151,274,638,496,556,332,261,54,2763,0,5,4,17,11,9,0,0,0,45,0,0,0,3,10,5,5,3,0,22,0,0,3,32,12,11,15,8,0,87,0,0,0,5,0,0,0,4,0,6,0,0,0,17,6,0,3,0,0,25,0,45,54,505,43,50,30,10,0,741,0,4,8,68,25,4,3,0,0,114,0,0,5,16,0,6,0,0,0,25,0,0,5,0,0,0,0,0,0,9,0,10,17,74,19,13,4,3,0,150,0,0,0,8,5,9,6,3,0,33,0,3,5,27,12,0,0,0,0,52,0,0,0,26,11,0,0,0,0,36,0,0,0,4,0,3,0,0,0,10,0,10,13,58,29,20,12,7,0,141
SED50502,0,0,0,0,0,0,0,0,0,4,0,4,20,114,48,51,20,5,4,270,0,0,0,13,10,17,16,12,7,73,0,0,3,0,3,0,6,4,0,18,0,17,25,210,160,256,218,135,61,1084,0,0,0,6,6,4,3,0,0,16,0,0,0,16,7,4,0,0,0,31,0,0,4,27,8,12,16,13,0,86,0,0,0,0,0,0,7,0,0,18,0,0,8,26,13,16,9,4,0,63,6,25,36,289,72,94,86,72,19,710,4,4,3,42,19,12,9,0,0,99,0,3,15,33,8,9,0,4,0,68,0,6,7,59,20,9,3,0,0,110,0,0,3,80,20,10,14,0,0,135,0,0,7,15,11,27,54,37,33,183,0,0,0,22,20,3,0,0,0,46,0,0,0,31,14,0,0,0,0,43,0,0,0,3,3,4,0,0,0,9,0,11,14,75,38,67,60,18,3,282
SED50605,0,4,0,8,3,6,3,0,0,25,0,27,40,322,117,111,59,26,22,726,0,0,0,5,0,10,10,11,0,39,0,4,0,0,0,4,4,9,6,26,3,61,79,180,216,280,227,177,67,1293,0,0,0,7,5,4,5,0,3,18,0,3,3,19,9,7,3,0,4,47,0,4,3,27,21,8,14,11,9,92,0,0,0,0,0,0,8,0,4,15,4,15,15,64,33,37,43,8,4,217,0,21,33,158,61,88,75,30,13,472,3,16,43,256,123,111,114,36,9,716,0,8,14,100,32,20,24,9,5,206,0,3,0,15,8,0,0,0,0,36,0,7,6,31,15,18,12,15,4,107,0,3,5,15,17,23,52,25,19,158,0,3,4,26,30,12,5,0,0,91,0,14,10,80,35,13,8,3,0,164,0,0,0,0,4,6,0,5,0,15,0,32,75,305,197,147,237,92,24,1102
SED50702,0,0,0,4,3,3,6,3,0,22,7,17,42,308,136,107,43,17,4,665,0,0,3,3,3,9,7,5,6,36,0,7,3,11,3,0,4,3,0,29,0,15,41,183,137,252,203,140,81,1042,0,0,0,10,8,3,4,0,0,21,0,0,0,26,4,0,0,5,0,38,0,0,3,26,7,9,21,14,5,95,0,0,0,0,0,0,0,7,0,15,0,0,8,84,16,7,11,6,0,136,12,32,48,389,58,53,53,37,18,693,5,4,21,128,51,20,23,4,5,266,0,5,8,43,5,6,3,0,0,63,0,4,9,31,5,8,0,0,0,50,3,0,8,107,12,14,11,11,6,178,0,0,5,15,10,12,51,53,25,175,0,0,6,45,27,9,0,0,0,94,0,6,9,126,16,6,10,3,0,168,0,0,4,8,3,0,6,3,0,24,0,15,43,230,75,68,33,16,6,491
SED50805,0,0,0,9,4,3,0,0,6,18,0,7,6,42,19,17,9,5,7,107,0,0,0,7,4,8,15,8,0,38,0,0,0,9,0,0,7,3,3,18,5,51,93,297,268,318,237,186,92,1549,0,0,0,0,5,0,0,0,0,3,0,0,3,23,7,10,5,4,0,51,0,0,8,36,12,22,22,15,3,112,0,0,0,0,3,0,4,0,3,16,0,4,3,6,6,5,8,0,0,33,4,11,12,43,24,16,17,14,7,136,0,7,4,48,15,11,8,10,0,100,0,0,4,19,4,3,3,0,3,39,0,0,0,3,0,0,0,0,0,4,0,11,8,44,27,40,17,19,3,170,0,4,5,24,11,24,61,59,47,241,0,0,0,13,12,6,3,0,0,39,0,0,3,27,3,0,0,0,0,38,0,0,0,0,0,3,5,0,0,12,0,7,5,32,16,24,24,13,8,127
SED50906,0,0,0,4,4,0,0,0,0,12,0,0,7,38,17,12,0,0,0,78,0,0,0,0,0,0,3,0,0,11,0,0,0,9,0,0,0,0,0,13,5,23,66,168,187,304,233,182,83,1253,0,0,0,4,0,0,0,0,0,3,0,0,0,9,6,5,0,9,0,22,0,0,4,17,9,15,25,16,9,86,0,0,0,0,0,0,4,4,0,11,0,3,0,12,0,0,0,0,0,20,4,16,8,114,12,8,7,4,4,173,0,3,3,31,16,5,6,0,0,61,0,0,0,12,0,0,0,0,0,11,0,0,0,9,0,0,0,0,0,7,0,3,13,29,12,13,19,5,6,92,0,0,0,6,4,10,42,30,31,124,0,0,0,12,7,3,0,0,0,22,0,0,5,21,3,0,0,0,0,31,0,0,0,8,0,3,3,4,0,20,0,5,0,32,12,10,6,0,0,73
SED51004,0,0,3,0,0,6,4,4,0,20,0,4,3,67,29,21,12,4,0,136,0,0,0,3,3,7,6,0,0,20,0,4,4,16,14,6,4,0,0,46,11,158,506,898,996,904,427,260,86,4249,0,0,0,0,0,4,0,0,0,9,0,0,0,11,4,4,0,8,0,24,0,0,5,32,18,22,23,11,3,111,0,0,0,5,0,0,0,0,0,10,0,3,5,10,6,9,6,0,0,43,0,7,13,108,23,19,18,4,5,206,4,8,3,42,25,12,0,3,0,97,0,0,0,24,16,11,4,0,0,53,0,0,5,4,0,0,0,0,0,20,0,22,30,121,58,49,28,19,3,328,0,3,6,13,8,9,18,7,8,61,0,3,3,17,14,0,4,0,0,41,0,0,4,9,7,0,0,0,0,20,0,0,0,0,0,5,0,0,0,7,0,7,7,50,24,29,19,6,0,144
SED51104,0,0,0,10,0,0,3,0,0,17,0,3,7,46,21,11,6,0,0,92,0,0,3,7,3,6,7,7,0,33,0,9,10,19,7,4,7,7,0,57,11,229,597,1309,1032,754,523,383,130,4963,0,0,0,11,4,0,0,0,0,17,0,0,0,15,0,4,5,0,0,26,0,0,6,37,40,21,23,6,3,143,0,0,0,0,0,0,0,0,3,13,0,0,5,20,7,3,4,0,0,37,0,4,16,147,20,19,23,12,4,248,4,11,9,55,9,3,0,0,0,92,0,0,3,10,7,6,0,0,0,31,0,0,3,7,0,0,0,0,0,17,0,15,40,111,39,14,18,13,3,263,0,0,0,21,7,6,13,5,5,58,0,4,0,34,11,0,3,0,0,55,0,0,3,22,4,3,6,0,0,35,0,0,0,5,0,0,0,0,0,4,0,9,11,56,18,22,10,5,3,131
SED51205,0,0,0,6,8,6,0,5,0,24,4,30,102,567,173,139,62,14,10,1100,0,0,0,6,0,3,11,5,0,26,0,3,5,14,0,0,7,5,0,31,0,20,36,132,130,240,235,205,70,1067,0,0,0,3,0,0,4,3,0,13,0,0,0,15,0,0,0,0,0,24,0,3,7,15,10,11,19,16,5,81,0,0,0,0,3,0,0,4,0,10,4,4,30,111,9,28,9,6,0,197,27,93,267,1349,149,129,82,44,21,2163,0,30,67,322,108,61,45,10,5,647,0,4,6,44,9,6,12,3,0,77,0,4,9,17,18,0,3,0,0,54,0,10,8,29,9,7,7,8,4,87,0,0,0,10,6,29,56,45,28,165,0,0,4,34,28,9,4,0,0,80,0,13,14,146,40,20,9,5,0,258,0,4,6,16,4,3,5,0,0,38,8,27,130,500,141,167,159,59,12,1213
SED51304,0,0,0,4,0,3,4,6,0,18,0,15,7,89,18,38,17,3,0,174,0,0,0,5,0,0,15,7,6,33,0,0,4,3,3,5,6,4,3,30,7,116,144,340,339,373,348,235,79,1982,0,0,0,3,0,3,0,0,0,8,0,0,4,20,4,0,0,0,0,35,0,3,8,48,25,10,40,19,0,148,0,0,0,0,0,10,11,9,0,31,0,4,4,12,11,4,12,5,3,49,0,7,3,49,24,28,28,23,3,173,0,4,4,18,12,3,8,3,0,52,0,9,4,32,4,0,6,0,0,49,0,0,0,4,0,0,0,0,0,4,0,14,11,95,32,46,35,16,7,257,0,5,0,9,8,11,64,25,21,143,0,0,0,12,12,11,9,0,0,41,0,0,5,15,6,4,0,0,0,32,0,0,0,0,0,0,3,0,0,3,0,7,7,41,27,30,62,19,4,195
SED51401,0,0,0,3,0,0,0,0,0,3,0,0,4,6,9,9,0,0,0,22,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,4,17,97,131,256,237,137,52,930,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,6,0,0,0,19,0,0,3,20,6,13,41,14,0,103,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,8,6,46,3,6,7,10,0,84,0,4,0,15,14,0,6,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,3,10,7,0,51,0,0,0,4,0,4,15,8,5,34,0,0,0,5,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,8,5,0,0,19
SED51504,0,4,5,15,0,0,0,5,0,24,0,31,24,220,102,58,42,19,9,512,0,3,0,0,0,11,3,5,6,36,0,4,5,10,0,6,9,4,3,37,9,72,100,256,238,264,195,149,69,1355,0,0,0,0,0,5,0,0,0,7,0,8,6,34,14,5,3,0,0,74,0,3,3,38,24,15,21,11,0,119,0,0,0,6,5,0,6,9,16,39,0,12,9,29,23,9,17,3,0,100,3,26,32,267,52,36,20,20,6,471,3,7,12,46,24,15,9,8,0,117,0,9,3,32,23,8,11,6,7,84,0,0,0,0,5,0,0,0,0,10,0,10,9,71,21,31,28,21,13,199,0,9,6,31,13,14,31,35,41,178,0,3,10,47,38,14,4,0,0,120,0,5,4,26,9,0,5,0,0,48,0,0,0,0,0,0,0,0,0,9,4,28,25,130,81,61,63,17,12,411
SED51605,0,0,0,9,6,3,3,0,0,26,0,18,38,239,83,51,22,6,0,460,0,0,3,40,15,56,53,21,13,203,0,0,0,4,6,0,3,3,3,15,6,46,102,377,288,368,201,106,39,1523,0,3,0,9,0,3,0,0,0,16,0,0,0,27,8,5,0,0,0,45,0,0,5,39,14,8,14,9,0,90,0,0,0,0,0,0,0,0,0,5,4,0,5,36,7,7,3,0,0,63,0,24,22,233,56,27,24,13,0,412,0,4,20,101,49,21,13,3,0,221,0,5,14,42,11,8,5,0,0,89,0,0,0,4,0,0,0,0,0,4,6,7,6,62,27,14,12,4,4,133,0,3,0,27,7,30,57,48,15,192,0,4,5,22,27,0,3,0,0,59,0,5,7,65,20,12,0,0,0,106,0,0,0,5,0,0,5,0,0,15,0,14,24,138,61,42,23,14,3,322
SED51706,0,0,0,3,0,0,0,0,0,3,0,0,3,26,5,4,5,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27,150,187,365,266,197,43,1254,0,0,0,0,0,0,0,0,0,3,0,0,0,5,6,0,0,0,0,8,0,0,0,13,13,9,28,13,6,82,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,5,0,7,3,54,6,9,6,9,0,102,0,5,0,23,6,0,3,6,3,42,0,0,0,6,0,0,0,0,0,9,0,4,0,7,0,3,0,0,0,12,0,3,9,25,16,8,8,7,0,75,0,0,0,5,8,7,25,21,11,65,0,0,0,7,4,0,0,0,0,14,0,0,0,18,4,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3,16,11,5,7,7,0,49
SED51804,0,0,0,13,3,3,0,3,0,26,0,27,52,120,71,45,30,16,3,359,0,0,0,4,5,7,4,3,0,29,0,0,0,0,0,0,5,0,0,13,13,84,133,316,292,350,265,199,104,1762,0,0,0,6,0,0,0,0,0,6,0,7,11,35,14,8,0,0,0,75,0,6,11,41,21,26,23,22,6,151,0,0,0,0,0,0,7,0,4,12,4,19,31,20,9,15,13,3,0,115,0,3,18,51,38,29,20,19,3,177,0,4,14,21,19,12,14,6,0,88,0,0,4,23,10,15,10,4,3,56,0,0,0,0,4,0,0,0,0,4,5,6,4,123,26,17,10,13,17,221,0,0,6,26,7,8,13,20,7,83,3,19,12,34,19,13,9,0,0,111,0,6,0,16,4,4,4,0,0,33,0,0,0,0,0,8,0,0,0,5,3,8,17,58,53,40,29,16,6,241
SED51902,0,0,0,0,5,0,4,0,0,9,0,0,3,24,15,7,3,0,0,56,0,0,0,5,0,4,0,3,0,16,0,0,0,0,0,0,0,0,0,6,0,21,99,368,456,676,456,274,72,2424,0,6,0,15,0,3,0,0,0,29,0,5,0,14,7,5,0,0,0,33,0,0,0,14,20,12,25,6,0,83,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,0,4,0,0,13,0,21,22,253,20,32,25,11,0,393,0,0,6,26,15,5,3,3,0,67,0,0,0,8,0,4,0,0,0,16,0,0,0,6,3,0,0,0,0,8,0,4,3,43,13,20,18,7,0,111,0,0,0,7,3,8,20,14,7,60,0,0,0,9,4,0,0,0,0,16,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,25,26,17,19,8,0,105
SED52006,0,0,0,0,0,0,0,0,0,10,0,0,0,17,28,9,0,0,0,53,0,0,0,0,0,3,7,0,0,12,0,0,0,0,0,3,3,0,0,5,3,63,178,342,433,593,588,442,109,2743,0,0,6,0,4,0,0,0,0,8,0,0,0,7,0,0,10,0,0,19,0,4,9,13,7,22,37,25,5,119,0,0,0,0,0,0,0,4,0,8,0,0,0,4,4,3,6,0,0,14,0,9,6,33,9,18,13,13,0,94,4,7,5,44,12,8,11,0,0,103,0,0,0,9,6,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,5,23,23,9,23,10,0,99,0,0,0,3,5,3,15,14,0,45,0,0,0,8,12,0,3,3,0,23,0,0,0,9,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,5,6,8,11,9,13,5,0,55
SED52102,0,0,4,3,5,5,4,0,0,18,0,4,6,112,36,35,16,0,0,217,0,0,0,0,0,4,8,0,0,11,0,0,0,0,0,0,0,0,4,8,4,17,42,161,192,356,261,210,73,1316,0,0,0,6,0,3,3,0,0,13,0,0,0,13,0,0,0,0,0,18,0,7,0,17,11,8,22,20,5,82,0,0,0,0,0,0,4,0,0,7,0,0,0,26,0,7,0,0,3,37,3,45,33,405,51,41,42,26,3,652,0,9,15,67,32,20,8,8,4,159,0,0,5,8,4,0,0,0,0,19,0,0,3,3,0,5,0,0,0,12,0,4,6,50,15,10,15,14,0,117,0,0,0,4,4,8,29,24,7,84,0,0,0,20,3,3,0,0,0,30,0,0,3,26,10,3,0,0,0,39,0,0,0,4,0,4,0,0,0,12,0,12,8,108,29,34,31,4,3,240
SED52205,0,0,4,24,9,3,5,0,0,53,0,4,8,38,15,11,11,0,0,86,0,0,3,17,8,29,54,38,52,205,0,0,0,0,0,5,6,3,0,17,0,35,76,395,290,397,307,148,53,1695,0,0,0,0,0,5,0,0,0,3,4,5,10,101,21,16,4,4,0,155,0,7,13,119,37,25,30,26,0,259,0,0,0,0,0,0,5,3,3,9,0,0,0,14,3,5,0,0,0,34,0,3,3,43,10,15,16,9,5,113,0,6,6,43,15,13,3,0,0,93,0,0,0,21,3,3,0,0,0,30,0,0,0,0,0,0,0,0,0,3,0,3,10,97,25,22,9,13,0,182,0,4,13,87,27,43,149,169,163,640,0,3,4,43,19,14,7,0,0,91,0,0,0,18,5,4,0,0,0,29,0,0,0,0,0,3,0,0,0,10,0,4,8,34,20,21,13,6,0,103
SED52301,0,0,0,0,0,0,0,0,0,6,0,0,0,14,11,4,5,0,0,41,0,0,0,0,0,0,0,3,0,3,4,0,0,5,0,0,0,0,0,12,0,12,36,108,147,169,136,124,39,781,0,0,3,9,0,0,0,0,0,15,0,0,0,5,0,4,0,0,0,20,0,0,5,25,15,20,17,10,5,92,0,0,0,0,0,6,0,0,0,7,0,0,0,5,0,0,0,0,0,6,3,11,3,60,8,7,7,10,0,107,0,8,4,29,12,0,0,0,0,53,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,16,8,3,12,4,0,44,0,0,0,3,0,8,17,17,15,58,0,0,0,3,4,0,0,0,0,8,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,8,3,0,0,41
SED52404,0,0,0,6,3,0,5,0,0,13,0,9,4,46,26,18,19,0,3,121,0,0,0,3,3,14,5,3,0,23,0,0,0,12,0,10,10,4,0,34,12,123,202,583,459,542,457,248,79,2716,0,0,0,0,0,0,6,0,0,7,0,5,0,14,3,4,5,4,0,35,0,0,9,37,23,28,24,23,3,153,0,0,0,0,0,3,11,4,0,20,0,0,4,8,3,17,5,6,0,43,0,3,11,32,14,35,22,24,4,148,3,4,6,25,14,15,9,5,0,71,0,3,0,18,0,5,3,0,0,33,0,0,0,0,0,0,0,0,0,0,0,15,18,149,40,50,43,16,4,340,0,0,4,31,11,11,25,21,0,98,4,5,0,13,18,6,0,0,0,55,0,0,0,13,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,8,0,4,6,25,14,34,28,9,0,112
