SED_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
SED10011,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,5,3,0,20,27,32,40,39,25,0,0,0,0,0,0,7,200,3,19,7,11,33,42,67,27,16,3,10,11,0,0,0,243,0,3,39,4,6,12,0,0,0,0,0,0,0,0,6,68,0,14,17,5,3,0,0,3,0,0,0,0,0,0,3,50,6,0,10,12,16,10,7,4,0,0,0,4,0,0,0,77,71,91,83,46,66,44,60,27,0,0,4,0,3,0,11,510,0,11,23,6,4,0,3,0,0,0,0,0,0,0,5,64,0,0,10,16,20,14,14,5,0,0,0,3,0,0,0,85,4,4,34,35,16,28,59,48,23,8,25,15,3,0,3,309,0,15,3,5,16,13,20,11,5,5,0,5,0,0,4,97,0,0,0,8,8,12,3,6
SED10012,0,0,0,0,0,7,28,10,0,0,4,0,0,24,5,85,0,0,0,0,0,0,12,9,0,4,0,0,0,0,0,34,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,19,3,9,32,76,488,342,267,138,37,65,47,25,8,0,160,1697,3,51,386,131,34,200,69,4,0,0,0,0,0,0,41,932,3,12,17,11,28,14,13,26,0,5,0,0,0,0,0,129,0,0,0,38,160,144,83,32,13,4,13,26,8,0,17,541,47,36,15,15,6,16,7,3,8,4,0,4,0,0,8,159,4,16,59,25,0,13,3,5,0,0,0,0,3,0,7,133,0,0,6,21,70,52,14,14,0,5,0,0,3,0,8,198,0,0,6,16,33,35,65,25,0,6,10,13,3,0,12,230,0,0,0,28,41,58,36,14,6,5,7,4,4,0,0,203,0,0,6,29,71,40,66,87
SED10013,0,0,0,0,34,52,60,28,5,3,3,0,0,0,4,177,0,0,0,0,4,65,334,158,21,13,12,11,3,0,12,637,0,0,0,10,15,25,28,26,3,0,0,0,7,0,0,129,0,5,9,35,120,192,324,198,27,25,29,63,10,0,18,1060,4,29,155,49,20,93,13,6,0,0,0,0,0,0,12,385,10,18,32,22,44,53,66,77,32,11,11,9,3,0,12,397,0,0,0,23,286,341,369,170,23,24,26,15,15,0,16,1316,55,82,43,22,29,28,36,11,0,0,0,3,8,0,11,331,0,20,79,19,9,15,5,26,0,0,0,0,0,0,9,185,0,4,4,11,27,35,21,16,5,6,0,0,0,0,3,142,0,3,22,34,69,189,1322,854,135,127,110,112,32,13,25,3053,0,9,0,9,39,64,100,29,3,3,4,3,5,0,6,278,0,0,0,8,35,34,52,66
SED10014,0,0,0,0,21,61,40,20,5,0,6,0,3,8,5,169,0,0,0,0,15,128,527,236,37,23,17,42,13,14,12,1072,0,0,0,3,6,11,20,8,0,3,0,6,0,0,0,57,4,11,17,6,89,96,189,107,22,25,24,36,13,0,25,661,0,3,82,19,16,26,7,5,0,0,0,0,0,0,0,159,4,10,18,12,65,54,74,59,5,4,9,12,0,0,0,339,0,0,10,41,275,260,216,90,13,21,13,18,11,0,34,1005,30,58,39,21,23,14,13,6,0,4,0,0,0,0,0,213,0,15,77,24,9,8,0,13,0,0,0,0,0,0,3,157,0,0,0,12,40,33,16,3,6,9,0,4,3,4,0,138,0,3,35,56,87,171,603,425,70,62,84,90,31,7,29,1760,0,3,0,15,40,96,100,27,18,12,8,7,4,0,5,334,0,0,0,7,24,13,49,45
SED10015,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,13,0,0,0,0,16,104,319,180,36,45,41,45,14,4,16,835,0,0,3,8,21,10,16,17,6,0,0,4,0,0,9,90,8,40,34,135,1303,1643,2347,1214,231,632,348,299,60,12,365,8664,3,15,64,14,5,22,8,0,0,0,0,0,0,0,3,130,5,28,98,81,51,65,43,27,3,16,0,10,0,0,22,440,0,6,6,57,176,127,54,35,10,3,18,15,8,0,19,544,14,19,24,8,16,13,24,23,0,4,0,0,0,0,10,160,23,624,2000,503,128,65,38,159,27,22,13,9,10,0,228,3844,4,7,17,104,214,172,85,56,15,12,8,21,15,4,23,759,0,0,24,37,54,129,357,215,70,86,106,93,29,0,29,1227,0,4,9,62,192,257,382,164,26,33,33,48,16,0,25,1250,0,0,0,5,9,13,22,50
SED10016,0,0,0,9,77,151,86,21,3,0,3,3,0,0,3,368,0,0,0,5,18,92,143,63,8,10,9,4,8,0,3,366,0,4,5,8,27,28,50,18,9,11,0,4,6,3,0,171,5,21,30,35,419,720,2294,1087,207,194,160,219,80,11,76,5561,0,17,95,39,16,17,4,0,0,0,0,0,0,0,8,201,7,9,51,51,100,72,103,105,47,56,48,44,31,7,16,744,0,3,6,25,194,149,92,28,5,10,0,5,0,0,3,527,52,43,23,30,28,30,35,14,4,4,0,3,0,0,5,277,5,23,58,12,5,5,3,8,0,0,0,0,0,0,5,126,0,6,14,78,222,330,102,65,20,31,15,15,28,6,7,931,0,4,62,93,303,913,2476,1264,375,330,334,247,125,48,61,6639,0,9,9,47,86,212,197,41,13,15,15,10,5,0,9,661,0,0,7,21,183,309,473,500
SED10017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,10,0,0,0,0,0,5,13,24,0,0,0,0,0,0,0,39,0,0,3,9,6,5,19,5,3,0,0,0,0,0,0,70,0,4,5,5,11,12,61,43,13,8,9,3,3,0,14,181,0,7,11,7,0,0,3,0,0,0,0,0,0,0,0,32,0,4,7,0,3,0,6,4,0,6,0,0,0,0,5,34,0,0,0,6,16,3,14,9,0,0,0,0,0,0,10,68,55,90,22,10,12,9,8,11,0,0,0,0,0,0,10,245,0,4,3,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,3,8,11,7,5,9,0,0,0,0,0,0,0,49,6,0,10,5,5,9,180,159,17,30,16,13,4,4,11,488,0,0,0,3,6,8,8,10,0,3,0,0,6,0,0,44,5,0,0,0,6,4,8,8
SED10018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,3,0,0,0,0,0,18,0,0,15,10,24,23,53,24,4,3,8,0,0,0,0,170,6,3,0,17,23,30,120,52,24,26,12,13,3,0,12,328,0,7,19,5,3,0,0,0,0,0,0,0,0,0,0,34,0,4,7,4,0,3,9,4,3,0,0,0,0,0,0,30,0,0,0,3,17,11,8,0,0,0,5,0,0,0,0,50,103,90,22,10,26,22,40,18,6,4,0,0,4,0,12,357,5,22,37,6,4,0,0,4,0,0,0,0,0,0,3,87,0,0,0,12,17,12,13,8,3,0,0,8,0,0,4,84,0,3,7,18,11,40,113,53,16,21,29,15,13,0,6,342,3,3,3,0,9,6,23,13,0,0,7,8,5,0,0,80,0,0,0,0,0,0,12,10
SED10019,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,11,11,17,3,16,9,3,6,0,0,0,3,8,98,0,0,0,7,7,3,20,16,9,0,9,3,0,0,21,94,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,4,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,6,0,0,4,9,0,0,0,0,0,0,3,34,30,69,24,13,19,9,23,6,0,3,0,0,3,0,5,207,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,6,9,6,3,4,0,0,0,0,4,0,7,42,3,3,4,4,6,9,55,39,18,14,11,10,3,0,8,191,0,4,3,3,0,0,7,6,0,0,0,0,6,0,8,41,0,0,0,0,0,0,0,3
SED10020,0,0,0,0,0,0,3,33,11,11,0,10,0,0,0,66,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,10,0,8,19,33,35,24,41,27,3,9,3,3,10,0,9,207,0,8,6,0,13,24,38,29,4,23,16,34,0,0,3,202,4,8,14,4,0,0,0,0,0,0,0,0,0,0,0,27,9,7,0,3,4,3,9,6,0,0,0,0,0,0,3,44,0,4,6,16,14,12,23,7,0,3,4,0,0,0,4,94,28,85,53,41,54,36,38,20,0,5,0,0,0,0,12,392,0,7,10,0,0,0,0,0,0,0,5,0,0,0,0,24,0,0,7,7,11,5,7,14,0,3,9,0,0,0,0,65,8,24,57,52,104,76,391,260,57,58,75,115,33,3,35,1349,0,4,0,4,4,10,12,13,5,10,3,12,3,0,0,78,0,0,0,0,4,0,4,6
SED10021,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,11,13,5,3,0,7,0,0,0,0,55,0,5,14,37,37,59,102,92,17,22,32,32,22,4,9,471,4,22,18,27,166,194,281,163,45,55,57,77,25,8,25,1163,0,20,26,10,9,9,7,0,0,0,0,0,0,0,6,92,9,43,41,14,19,8,9,3,0,0,3,0,0,0,5,152,3,0,10,20,44,26,14,8,0,0,0,0,5,0,0,136,34,26,36,30,51,56,141,75,35,26,34,49,12,0,24,631,23,125,159,29,11,5,10,9,0,0,6,0,0,0,26,400,5,5,20,50,98,92,40,50,12,10,16,13,14,3,15,450,0,9,53,35,52,61,89,66,25,37,31,32,23,0,18,540,0,11,15,27,52,70,40,27,10,8,9,5,5,0,7,286,0,0,3,8,20,28,37,36
SED10022,0,0,0,0,0,5,3,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,10,0,0,0,0,0,0,4,25,0,0,5,10,5,6,6,3,0,0,0,0,0,0,0,38,0,0,3,8,12,13,26,19,22,28,30,108,17,0,4,282,0,5,9,0,6,0,4,0,0,0,0,0,0,0,0,21,0,4,4,0,0,0,4,4,0,0,0,0,0,0,3,22,0,0,0,3,15,5,3,4,0,0,0,11,16,28,6,105,39,51,13,9,12,9,4,7,0,0,4,0,0,0,12,154,0,3,9,3,0,0,0,0,0,0,0,0,0,0,0,30,0,0,3,0,9,5,5,4,0,0,0,0,0,0,0,28,0,3,0,4,0,5,50,55,16,22,27,18,12,6,9,223,0,3,0,0,0,0,4,3,0,0,0,12,0,0,0,35,0,0,0,0,0,4,0,3
SED10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,17,4,0,10,29,29,28,52,38,8,3,6,14,5,0,0,225,5,10,8,14,83,142,206,114,12,18,9,17,8,0,7,654,0,22,74,17,13,17,0,0,0,0,0,0,0,0,0,144,18,24,56,19,15,24,15,3,0,0,0,3,0,0,8,194,0,0,4,16,20,14,5,0,0,0,0,0,0,0,0,61,25,67,38,26,26,19,49,24,5,5,7,4,5,0,6,315,9,67,128,36,4,6,8,3,0,0,4,0,0,0,14,263,0,5,8,21,35,40,25,15,4,0,0,3,3,3,0,165,4,5,25,28,17,17,34,44,6,0,8,9,0,0,4,202,0,3,0,11,18,34,21,11,3,0,0,0,3,0,5,123,0,0,0,7,7,0,7,13
