CED_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
CED147,24,13,41,41,94,147,242,280,148,1030,18,28,21,66,184,477,645,559,173,2171,374,1679,1935,1751,1718,1546,1007,546,237,10793,0,3,21,37,76,155,211,273,139,915,547,596,816,1000,1225,1514,1398,802,436,8334,12101,6071,6065,5993,5768,4750,3252,1468,325,45793,1253,733,696,693,768,712,623,528,399,6405,15197,9597,10083,10295,10917,11092,10147,6556,2620,86504,29,117,389,858,2076,4044,5728,4544,1671,19456,2562,1857,2073,2086,1881,1807,1690,1057,307,15320,36,46,107,220,517,1133,1771,1503,513,5846,6,6,3,3,12,61,184,516,546,1337,65,134,246,466,1146,2126,2824,2072,586,9665,62,33,83,147,500,1268,2304,2243,972,7612,40,39,66,87,174,286,511,571,271,2045,36,36,47,111,298,844,1231,1092,352,4047,810,2623,2936,2832,2819,2571,1657,850,340,17438,11,11,32,61,140,299,504,593,279,1930,1446,1170,1295,1633,2106,2573,2431,1392,679,14725,24211,13068,12755,12316,11781,9568,6225,2784,622,93330
CED194,0,0,0,3,6,4,7,3,3,26,0,0,4,10,23,35,22,6,5,105,24,165,170,141,142,135,35,8,6,826,0,0,5,0,3,4,6,5,0,23,13,45,59,76,79,105,48,15,3,443,269,275,449,236,215,229,119,27,7,1826,285,220,335,292,212,157,68,19,7,1595,616,703,1022,749,666,698,404,104,32,4994,3,3,33,57,120,272,240,78,11,817,57,106,139,113,111,131,95,26,4,782,0,0,6,19,29,86,82,34,3,259,0,0,0,0,3,3,6,6,6,24,0,6,8,33,51,109,116,36,7,366,3,5,8,10,44,95,152,49,8,374,0,0,0,8,17,19,21,9,3,77,0,6,12,25,33,90,79,20,8,273,40,261,298,290,305,277,91,14,3,1579,0,0,4,0,8,27,25,11,0,75,37,75,101,147,154,215,125,28,8,890,583,558,974,607,499,488,303,73,4,4089
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED201,7,11,28,29,67,98,126,144,129,639,16,11,19,44,85,217,336,316,148,1192,276,1361,1638,1348,1359,1125,751,419,304,8581,0,9,11,38,68,100,141,195,161,723,445,568,824,961,1275,1356,1241,799,518,7987,10960,6192,6653,7582,6675,5285,3055,1080,316,47798,775,543,534,562,566,556,424,303,165,4428,13053,9102,10190,11402,11196,10687,8477,4851,2203,81161,17,73,247,572,1424,2765,3761,3033,1291,13183,1815,1697,2059,2135,1917,1732,1556,885,315,14111,32,36,77,189,495,966,1474,1013,378,4660,0,0,3,4,8,25,137,438,584,1199,43,108,219,504,1148,1969,2451,1562,533,8537,45,28,78,154,461,1116,1834,1710,897,6323,17,27,48,62,129,230,318,311,214,1356,26,26,37,88,152,428,655,654,264,2330,584,2079,2533,2221,2223,1809,1196,702,432,13779,10,9,12,54,121,223,380,441,266,1516,1183,1084,1298,1630,2069,2385,2182,1327,762,13920,22208,13583,13925,15324,13180,10371,5856,2087,537,97071
CED202,7,17,20,43,64,118,172,146,104,691,13,12,24,79,214,382,622,453,184,1983,427,1721,2235,1999,1893,1569,1035,404,234,11517,7,4,7,28,83,126,204,191,142,792,569,682,1037,1030,1301,1417,1230,625,395,8286,10514,5154,5136,5267,5058,4397,2907,1068,308,39809,1207,772,727,685,762,679,617,373,230,6052,13631,8760,9530,9741,10156,10173,9040,4783,2237,78051,32,116,428,851,1865,3435,4855,3207,1345,16134,2545,2068,2408,2375,2143,2036,1849,952,327,16703,22,41,100,234,514,1112,1693,1160,421,5297,5,10,0,8,13,51,165,377,473,1102,58,124,241,491,953,1678,2270,1412,477,7704,58,56,100,157,510,1251,2270,1853,900,7155,32,27,51,78,121,228,361,309,184,1391,25,33,60,133,373,719,1213,903,332,3791,947,2686,3484,3172,3109,2689,1796,710,320,18913,14,16,27,54,161,300,490,448,254,1764,1398,1207,1564,1692,2161,2504,2145,1129,588,14388,21089,11136,11192,10688,10258,8627,5669,2009,521,81189
CED203,18,24,19,37,90,122,195,211,134,850,21,18,22,61,138,359,516,413,151,1699,394,1716,2194,1895,1843,1714,1059,496,287,11598,3,5,19,30,65,125,214,204,136,801,534,621,887,1021,1216,1375,1310,692,479,8135,10393,4925,5180,5192,4962,4396,2976,1094,321,39439,1237,723,744,757,784,822,654,509,379,6609,13304,8313,9431,9522,9882,10611,9476,5283,2462,78284,41,112,348,833,1846,3971,5420,3797,1541,17909,2156,1759,2206,2068,1894,2109,1918,1042,348,15500,34,38,75,209,499,1099,1747,1409,492,5602,6,0,7,8,19,52,183,383,542,1200,50,100,242,435,865,1558,2267,1406,487,7410,60,44,83,161,420,1185,2251,1994,1057,7255,43,40,47,68,145,245,411,449,245,1693,35,29,50,110,252,671,1008,816,307,3278,838,2617,3325,3029,3054,2823,1815,820,407,18728,16,19,26,52,120,278,495,470,266,1742,1332,1084,1414,1640,2047,2426,2329,1178,710,14160,20926,10629,10809,10464,10081,8596,5859,2157,559,80080
CED204,13,11,34,59,99,123,180,158,127,804,16,19,7,56,120,231,324,248,115,1136,242,1193,1357,1192,1440,1288,732,447,283,8174,5,7,14,31,68,130,188,211,149,803,425,575,792,957,1264,1435,1143,717,492,7800,13499,7973,8853,8333,6398,4937,2673,989,267,53922,1347,851,1047,931,899,738,562,295,188,6858,16198,11093,12655,12359,11519,10833,7902,4243,2004,88806,22,88,249,630,1554,2998,3505,2523,1206,12775,2005,1808,1893,1825,1780,1702,1366,696,267,13342,35,51,78,180,475,866,1130,803,325,3943,3,4,4,4,19,52,163,493,552,1294,53,105,312,777,1614,2727,2904,1699,596,10787,53,47,87,170,529,1339,1912,1549,763,6449,43,30,57,128,195,265,420,357,212,1707,32,34,32,108,227,439,619,528,208,2227,536,1823,2176,2040,2334,2137,1244,720,422,13432,12,13,26,53,144,310,438,440,267,1703,1138,1071,1288,1640,2227,2597,2054,1269,769,14053,27275,17188,19295,17332,13426,10141,5311,1929,476,112373
CED205,18,26,39,56,109,141,173,141,76,779,17,11,29,38,120,187,257,175,61,895,221,950,1210,1112,1291,1107,542,281,135,6849,0,4,13,29,56,78,148,109,53,490,575,511,787,1071,1363,1424,932,511,185,7359,18168,9187,12118,10162,5935,3677,1603,468,106,61424,1838,980,1249,1180,867,689,401,203,90,7497,21573,12294,16294,14649,10941,8934,5535,2609,901,93730,24,115,352,803,1735,2898,2750,1589,556,10822,2288,1897,2059,1804,1561,1386,980,457,148,12580,34,40,90,180,372,708,774,494,130,2822,6,3,6,14,25,74,152,281,233,794,63,126,369,959,1778,2803,2491,1281,299,10169,87,53,97,216,589,1308,1391,985,365,5091,47,42,74,119,211,328,392,276,129,1618,38,23,56,82,197,424,520,349,113,1802,473,1426,1930,1867,2036,1864,899,442,195,11132,16,8,22,46,124,254,364,283,116,1233,1454,1031,1367,1863,2399,2677,1660,879,288,13618,36751,19226,24446,21243,12261,7701,3269,1003,214,126114
CED206,10,11,28,36,62,103,133,146,77,606,13,6,19,39,118,279,421,338,120,1353,435,1575,1843,1850,1669,1350,791,369,192,10074,0,4,25,23,57,98,161,178,100,646,528,604,940,1081,1277,1368,1275,662,290,8025,11387,5604,5813,6191,6020,4787,2935,1064,241,44042,991,635,603,649,723,689,516,274,126,5206,14039,8801,9727,10610,11120,10537,8648,4451,1599,79532,41,90,304,715,1757,3430,4478,3020,1014,14849,2045,1722,2154,2366,2199,1847,1655,860,214,15062,32,34,101,197,545,1024,1595,1118,327,4973,8,7,3,3,11,41,130,347,339,889,47,117,198,372,829,1537,1974,1305,340,6719,64,54,90,147,397,1108,1969,1664,706,6199,27,36,50,70,123,214,328,312,147,1307,30,23,39,77,210,526,825,687,241,2658,855,2439,2824,2890,2688,2251,1362,585,257,16151,13,15,32,42,125,227,407,441,187,1489,1279,1154,1463,1700,2097,2449,2200,1156,442,13940,23315,12268,12383,12736,12494,9711,5710,2089,449,91155
CED207,3,12,17,33,68,71,120,202,182,708,10,5,10,14,69,119,242,349,202,1020,178,1499,1139,845,1054,811,632,573,499,7230,4,6,9,9,31,57,137,248,264,765,355,669,663,747,1151,1267,1309,1145,878,8184,11955,9340,9297,9638,8235,5861,3657,1885,592,60460,652,775,794,580,630,547,469,380,312,5139,13688,12740,12312,12505,12293,10334,8859,6996,3826,93553,7,81,157,330,1015,1881,2986,3663,2248,12368,1482,1886,1594,1475,1444,1269,1180,1051,534,11915,17,54,59,164,473,797,1312,1393,749,5018,0,4,4,5,15,39,173,623,901,1764,39,97,173,454,977,1665,2316,1998,899,8618,53,33,48,130,380,914,1672,2250,1618,7098,22,23,44,72,132,175,299,428,344,1539,13,16,26,34,119,234,468,665,386,1961,361,2264,1908,1456,1705,1394,1009,866,706,11669,4,18,12,26,71,162,338,507,463,1601,911,1233,1178,1373,1989,2294,2216,1927,1331,14452,24040,20313,20076,18582,15905,11286,6758,3396,1103,121459
CED208,8,6,31,43,60,87,119,155,119,628,6,13,19,40,92,204,227,221,118,940,197,1511,3185,2050,1430,1131,614,488,290,10896,7,0,10,24,44,91,131,162,151,620,358,561,1358,1202,1134,1210,920,731,515,7989,9701,5463,9323,8103,6539,4112,2034,933,337,46545,743,597,925,752,767,498,393,293,262,5230,11487,8389,15305,12931,11015,8417,5953,4310,2486,80293,21,75,306,564,1206,2174,2729,2652,1532,11259,1360,1549,3013,2498,1802,1262,927,625,293,13329,25,28,141,257,473,763,876,729,354,3646,0,0,0,8,11,38,111,446,590,1204,22,57,220,413,754,1339,1672,1471,650,6598,46,31,74,125,394,774,1197,1349,875,4865,23,17,49,82,120,199,231,311,231,1263,11,21,40,66,172,348,465,429,231,1783,409,2168,4810,3376,2500,1890,1053,702,416,17324,6,3,27,44,108,190,288,357,271,1294,889,940,2092,1906,2012,2140,1613,1147,790,13529,19611,11730,19507,16615,13158,8075,3946,1799,603,95044
CED209,10,9,23,54,57,91,166,162,122,694,16,14,21,38,76,217,420,371,185,1358,370,1537,1692,1575,1386,1189,873,419,434,9475,6,4,17,28,51,96,157,191,140,690,456,567,792,899,962,1279,1257,662,606,7480,11441,5145,5817,6425,5571,4559,3544,1288,279,44069,1050,650,543,667,611,622,651,426,244,5464,14012,8353,9334,10463,9645,9722,9605,5172,2362,78668,29,88,243,610,1307,2815,4522,3127,1281,14022,2126,1745,1920,2254,1749,1605,1769,913,307,14388,28,48,81,215,480,983,1740,1228,439,5242,0,0,4,10,14,45,201,501,666,1441,41,104,195,342,690,1253,1975,1302,438,6340,43,35,55,112,351,1035,2128,1856,978,6593,25,25,40,89,100,173,344,330,207,1333,33,19,35,66,142,377,812,724,330,2538,784,2272,2564,2529,2297,1936,1493,730,598,15203,11,12,27,51,104,209,427,441,261,1543,1170,1029,1226,1365,1617,2032,2213,1162,862,12676,23144,11292,12148,12788,11023,8741,6764,2462,552,88914
