LGA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA10050,294,21,0,0,0,314,141,17,3,0,0,163,124,29,0,0,0,156,279,49,0,0,0,324,477,57,0,0,0,532,1580,78,0,0,0,1663,1450,36,0,0,0,1486,1186,15,3,0,0,1208,413,6,0,0,0,419,279,6,0,0,0,288,180,0,0,0,0,181,321,16,0,0,0,336,6716,337,13,7,6,7071
LGA10180,162,0,0,0,0,162,55,0,0,0,0,66,66,0,0,0,0,68,133,5,0,0,0,137,204,10,4,0,0,220,602,12,3,0,0,621,548,14,0,0,0,560,427,9,0,0,0,441,167,4,0,0,0,172,125,3,0,0,0,130,101,0,0,0,0,105,150,5,0,0,0,153,2741,71,12,0,6,2824
LGA10250,204,35,4,0,0,243,66,17,3,0,0,90,72,20,8,0,0,93,107,39,3,0,0,147,161,38,8,0,0,210,458,97,24,3,0,590,567,111,33,0,0,707,903,145,28,4,0,1079,532,60,9,0,0,605,484,44,5,0,0,528,293,29,7,0,0,327,268,47,8,0,0,320,4105,673,142,16,7,4944
LGA10300,16,0,0,0,0,20,6,0,0,0,0,6,4,0,0,0,0,4,19,0,0,0,0,19,26,0,0,0,0,24,46,0,0,0,0,46,9,0,0,0,0,18,10,0,0,0,0,10,6,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,7,20,0,0,0,0,20,178,0,0,0,7,186
LGA10470,196,3,7,0,0,200,70,3,0,0,0,75,85,7,0,0,0,96,152,8,5,0,0,162,222,18,3,0,0,248,758,45,16,0,5,821,1075,33,3,0,0,1117,1230,24,3,0,0,1261,481,4,0,0,0,487,304,0,0,0,0,311,176,5,0,0,0,184,257,17,0,0,0,271,5001,180,42,5,7,5232
LGA10500,428,133,317,4,0,878,89,33,78,4,0,201,83,25,65,0,0,173,136,46,135,0,0,310,159,77,186,0,0,425,464,158,626,0,0,1252,485,201,920,3,3,1610,911,381,2245,10,0,3544,783,337,1604,7,0,2728,1388,581,1172,3,5,3148,2029,537,590,5,0,3160,669,164,500,0,3,1333,7615,2672,8431,28,17,18766
LGA10550,207,6,7,5,0,228,128,11,9,7,0,145,83,5,3,0,0,93,156,9,10,0,0,180,234,17,11,0,3,273,663,49,30,0,0,737,670,31,6,0,0,714,685,13,7,5,4,715,261,3,0,0,0,261,176,3,3,0,0,181,107,4,3,0,0,116,187,4,3,0,0,200,3554,159,93,13,15,3846
LGA10600,78,3,0,0,0,85,42,0,0,0,0,47,31,3,0,0,0,35,54,0,0,0,3,56,91,0,0,0,0,91,265,4,0,0,0,272,220,8,3,0,0,231,262,5,0,0,0,263,103,7,0,0,0,104,78,0,0,0,0,79,40,4,0,0,0,44,78,4,0,0,0,78,1335,32,5,4,6,1388
LGA10650,64,3,0,0,0,66,35,0,0,0,0,40,34,3,0,0,0,34,81,7,0,0,0,83,109,3,0,0,0,106,202,4,0,0,0,208,135,0,0,0,0,135,126,0,0,0,0,126,30,0,0,0,0,33,23,0,0,0,0,23,18,0,0,0,0,18,65,0,0,0,0,65,920,21,0,5,4,945
LGA10750,1718,165,45,0,0,1931,408,33,20,0,0,463,393,38,14,0,0,449,689,76,29,0,0,802,940,114,50,0,0,1096,3108,398,210,0,0,3720,4100,699,410,8,3,5216,8749,1643,668,8,12,11084,8594,1006,176,3,42,9820,8877,633,79,6,16,9607,4012,281,56,0,7,4353,3019,354,97,5,6,3484,44611,5445,1843,29,91,52012
LGA10800,46,4,0,0,0,53,23,0,0,0,0,23,33,0,0,0,0,35,50,0,0,0,0,48,62,0,0,0,0,63,129,0,0,0,0,130,70,0,0,0,0,74,60,0,0,0,0,58,15,0,0,0,0,15,10,0,0,0,0,10,19,0,0,0,0,20,37,0,0,0,0,41,562,5,0,6,5,574
LGA10850,55,0,0,0,0,55,15,0,0,0,0,15,19,0,0,0,0,19,36,0,0,0,0,38,68,4,0,0,0,74,200,5,0,0,0,199,165,0,0,0,0,169,156,0,0,0,0,156,69,0,0,0,0,71,68,0,0,0,0,67,45,0,0,0,0,52,45,0,0,0,0,45,938,9,0,4,8,959
LGA10900,555,15,8,0,0,577,216,5,6,0,0,226,158,4,5,0,0,166,321,11,5,0,0,337,398,4,5,0,0,406,1175,18,21,0,0,1216,1579,31,13,0,0,1624,2776,33,14,3,0,2821,1762,15,5,0,0,1781,1409,10,8,0,0,1429,699,8,3,0,3,713,525,14,6,0,0,545,11566,178,91,4,6,11848
LGA10950,19,0,0,0,0,21,10,0,0,0,0,10,8,0,0,0,0,8,27,0,0,0,0,27,25,0,0,0,0,28,48,0,0,0,0,52,30,0,0,0,0,30,15,0,0,0,3,22,7,0,0,0,0,7,4,0,0,0,0,4,14,0,0,0,0,14,13,0,0,0,0,13,217,0,0,0,3,229
LGA11150,20,0,0,0,0,20,11,0,0,0,0,11,12,0,0,0,0,12,15,0,0,0,0,15,20,0,0,0,0,20,24,0,0,0,0,24,21,0,0,0,0,23,12,0,0,0,0,12,3,0,0,0,0,3,5,0,0,0,0,5,5,0,0,0,0,3,14,0,0,0,0,14,165,0,0,0,0,168
LGA11200,9,0,0,0,0,9,8,0,0,0,0,8,5,0,0,0,0,5,7,0,0,0,0,7,6,0,0,0,0,6,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,8,0,0,0,0,4,45,0,0,0,0,47
LGA11250,138,0,0,0,0,138,179,6,0,0,0,180,174,0,0,0,0,178,331,0,0,0,0,335,322,3,0,0,0,324,475,0,0,0,0,473,225,0,0,0,0,227,110,0,0,0,0,110,38,0,0,0,0,38,25,0,0,0,0,22,23,0,0,0,0,23,143,0,0,0,0,143,2179,8,0,0,4,2195
LGA11300,122,43,60,0,0,227,22,12,8,0,0,37,18,13,11,0,0,36,19,13,17,0,0,50,33,19,24,0,0,73,79,36,75,0,0,191,69,43,109,0,0,221,152,92,270,5,0,519,111,68,201,0,0,384,239,123,161,0,0,520,467,131,70,0,0,670,145,60,64,0,0,269,1484,645,1068,0,0,3199
LGA11350,208,15,3,6,0,235,69,8,3,0,0,83,54,9,3,0,0,61,85,5,8,0,0,102,120,5,3,0,5,140,292,28,11,0,0,340,344,59,14,0,0,417,532,59,24,0,3,617,374,49,11,0,0,439,401,38,12,4,0,453,455,16,11,0,0,476,238,22,3,3,0,258,3182,304,105,19,7,3621
LGA11400,69,4,0,6,0,76,28,0,0,0,0,33,40,0,4,0,0,47,84,0,0,0,0,83,103,0,0,4,0,109,306,0,0,7,0,312,227,0,0,10,0,235,266,3,0,13,0,282,145,0,0,8,0,152,115,0,0,4,0,119,118,0,0,7,0,130,107,0,0,3,0,107,1612,10,0,63,3,1693
LGA11450,470,12,6,0,0,489,155,7,0,0,0,161,126,11,0,0,0,136,196,9,0,0,0,209,337,11,0,0,0,353,1053,48,13,0,0,1114,1481,82,6,0,3,1579,4016,157,16,0,3,4201,4521,145,9,0,4,4677,3826,67,8,0,4,3905,1602,20,5,0,0,1636,1091,34,8,0,0,1135,18884,603,84,3,13,19586
LGA11500,773,86,22,0,0,881,235,22,4,0,0,265,217,40,11,0,0,273,413,71,20,0,0,504,551,84,18,0,0,660,1874,341,113,0,3,2332,2504,516,163,0,0,3186,5023,637,168,0,10,5837,3518,214,47,0,0,3788,2341,106,29,0,0,2485,1113,57,28,0,0,1197,1326,124,54,0,3,1509,19891,2312,697,0,19,22920
LGA11520,266,58,207,5,0,537,48,7,39,0,0,101,40,11,27,0,0,78,63,19,71,0,0,148,83,25,63,0,0,172,188,52,269,0,0,507,232,66,320,4,0,618,397,117,763,12,0,1291,282,117,736,16,0,1157,640,203,887,14,0,1736,1827,350,686,16,3,2883,347,65,269,0,0,686,4415,1100,4330,69,7,9920
LGA11570,1200,306,261,7,0,1771,295,76,109,0,0,483,305,64,87,0,0,454,405,123,170,4,0,706,567,176,262,4,0,1008,1595,523,828,12,5,2967,1728,678,1311,18,0,3740,3362,1311,1946,27,9,6652,2754,1062,761,11,3,4592,4090,1160,482,6,4,5742,3332,602,233,4,8,4184,1831,491,417,5,3,2744,21462,6588,6871,102,35,35046
LGA11600,33,0,0,0,0,29,16,0,0,0,0,16,13,0,0,0,0,13,23,0,0,0,0,20,23,0,0,0,0,23,30,0,0,0,0,30,18,0,0,0,0,18,15,0,0,0,0,15,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,15,0,0,0,0,15,190,0,0,4,0,194
LGA11650,1708,119,91,9,0,1923,630,61,51,4,0,743,587,74,28,5,0,690,1002,103,54,5,0,1156,1430,139,86,4,0,1657,4184,345,281,10,4,4820,5978,525,354,12,3,6865,9731,553,365,12,9,10671,5893,212,130,3,6,6241,4382,121,91,4,4,4605,2619,69,57,3,4,2760,2364,151,89,5,5,2611,40498,2468,1683,66,37,44753
LGA11700,8,0,0,0,0,8,3,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,7,45,0,0,0,4,46
LGA11720,288,15,0,0,0,301,148,7,0,0,0,159,131,0,0,0,0,132,263,13,0,0,0,279,450,21,0,0,0,471,1499,63,8,0,0,1575,1882,37,3,0,0,1926,1823,17,0,0,0,1839,677,4,0,0,5,683,527,3,0,0,5,539,267,0,0,0,0,267,490,14,0,4,0,509,8450,186,27,3,13,8678
LGA11730,277,9,0,6,0,289,174,0,3,0,0,179,162,11,6,0,0,174,315,12,3,4,0,327,442,11,6,0,0,462,1249,40,12,18,3,1314,1086,30,7,11,0,1133,907,17,6,11,4,942,252,3,0,0,0,262,164,7,6,3,0,174,126,0,3,3,0,132,308,17,3,11,0,333,5455,152,49,67,5,5729
LGA11750,27,0,0,0,0,27,18,0,0,0,0,18,24,0,0,0,0,24,36,0,0,0,0,39,51,0,0,0,0,51,82,0,0,0,0,83,48,0,0,0,0,52,41,0,4,0,3,46,5,0,0,0,0,5,11,0,0,0,0,11,14,0,0,0,0,15,23,0,0,0,0,22,376,0,0,5,3,382
LGA11800,377,28,18,0,0,426,164,16,6,0,0,190,132,27,9,0,0,164,286,22,16,3,0,321,359,46,36,3,0,447,1074,115,97,3,0,1291,1446,130,52,3,0,1635,1980,101,45,6,3,2131,836,19,0,0,0,862,516,16,15,0,0,552,258,18,5,4,0,276,468,25,22,3,0,520,7890,568,323,29,12,8819
LGA12000,26,0,0,0,0,30,23,0,0,0,0,23,23,0,0,0,0,23,46,0,0,0,0,46,54,0,0,0,0,56,111,0,0,0,0,115,103,0,0,0,0,103,73,0,0,0,0,73,18,0,0,0,0,18,17,0,0,0,0,17,9,0,0,0,0,9,33,0,0,0,0,33,537,3,0,0,0,544
LGA12150,41,0,0,0,0,45,20,0,0,0,0,26,22,0,0,0,0,22,31,0,0,0,0,31,26,0,0,0,0,25,57,0,0,0,0,57,20,0,0,0,0,23,21,0,0,0,0,18,7,0,0,0,0,7,3,0,0,0,0,3,14,0,0,0,0,14,24,0,0,0,0,23,290,4,0,0,0,292
LGA12160,73,0,0,0,0,72,32,0,0,0,0,32,45,0,0,0,0,45,108,3,0,0,0,110,143,0,0,0,0,144,281,4,0,0,0,280,174,0,0,0,0,179,117,0,0,0,0,117,32,0,0,0,0,32,39,0,0,0,0,40,21,0,0,0,0,24,62,0,0,0,5,61,1112,14,9,0,5,1136
LGA12350,78,4,0,0,0,81,55,6,0,0,0,54,55,0,0,0,0,55,99,4,0,0,0,105,180,0,0,0,0,182,300,6,0,0,0,311,236,3,0,0,0,237,139,0,0,0,0,141,49,0,0,0,0,49,29,0,0,0,0,31,34,0,0,0,0,32,79,0,0,0,0,78,1326,23,3,5,4,1355
LGA12380,733,151,201,5,0,1088,157,33,47,0,0,237,146,37,57,0,0,232,228,56,82,0,0,364,316,73,148,4,0,537,922,268,517,5,0,1711,1109,393,913,3,3,2419,2124,912,1721,4,6,4769,1781,713,596,3,3,3099,2230,501,264,9,0,3004,1451,241,160,0,5,1864,1144,282,338,0,4,1768,12349,3658,5036,30,26,21095
LGA12390,221,4,0,0,6,237,104,12,0,6,0,113,121,5,3,0,0,126,265,9,3,0,0,280,455,14,10,0,0,476,1306,35,11,0,0,1351,1383,19,4,0,6,1406,1228,11,0,0,0,1237,442,3,0,0,0,447,273,0,0,0,0,272,188,5,0,0,0,187,395,14,0,0,5,404,6372,124,28,6,13,6544
LGA12700,52,0,0,0,0,57,32,0,0,0,0,32,19,0,0,0,0,19,38,0,0,0,0,37,68,0,0,0,0,70,205,0,0,0,0,205,212,0,0,0,0,214,256,0,0,0,0,255,183,0,0,0,0,183,152,0,0,0,0,150,73,0,0,0,0,73,90,0,0,0,0,90,1378,6,0,3,3,1393
LGA12730,58,7,0,0,0,63,35,0,0,0,0,31,47,0,0,0,0,51,100,4,0,0,0,105,135,0,0,0,0,138,228,0,3,0,0,231,151,0,0,0,0,150,88,0,0,0,0,88,24,0,0,0,0,22,21,0,0,0,0,21,21,0,0,0,0,21,55,0,0,0,0,55,965,13,6,0,3,979
LGA12750,257,4,9,4,0,275,131,8,7,0,0,141,100,6,0,0,0,110,163,11,5,0,0,179,205,12,9,5,4,230,626,29,15,0,0,673,709,24,6,0,0,742,734,17,6,0,0,758,302,3,4,0,0,308,182,11,0,0,0,190,123,0,0,0,0,123,204,7,5,0,0,223,3736,134,73,6,8,3954
LGA12850,919,103,94,0,0,1124,237,38,29,0,0,308,216,27,26,0,0,269,329,55,55,0,0,441,476,59,75,0,0,617,1393,221,302,0,4,1911,1501,290,272,3,0,2070,2608,469,210,4,4,3294,1733,232,63,0,0,2029,1810,134,54,0,3,2010,934,61,34,0,0,1034,1128,135,98,0,3,1355,13281,1813,1320,14,22,16454
LGA12870,83,3,0,0,0,85,47,0,0,0,0,49,31,4,0,0,0,34,97,15,0,0,0,110,160,6,0,0,0,168,364,5,0,0,0,372,275,0,0,0,0,274,182,5,0,0,0,180,61,0,0,0,0,61,36,0,0,0,0,36,28,0,0,0,0,33,101,5,0,4,0,113,1458,39,5,9,0,1507
LGA12900,66,0,0,0,0,72,26,0,0,0,0,32,34,0,0,0,0,34,86,0,0,0,0,88,115,0,0,0,0,121,241,4,0,0,0,249,176,4,0,0,0,184,126,0,0,0,0,130,43,0,0,0,0,43,28,0,0,0,0,29,25,0,0,0,0,29,59,0,0,0,0,61,1033,15,5,3,0,1059
LGA12930,589,122,231,0,0,944,130,37,44,0,0,218,112,25,48,0,0,179,154,29,101,0,0,286,197,48,140,5,0,380,571,136,383,4,0,1102,579,134,629,0,0,1341,1243,306,1289,7,0,2842,898,269,782,4,0,1953,1806,420,448,0,4,2681,2650,283,198,5,0,3143,806,129,234,4,0,1173,9733,1929,4531,36,9,16241
LGA12950,58,0,0,0,0,58,19,0,0,0,0,19,18,4,0,0,0,26,34,0,0,0,0,34,36,0,0,0,0,36,68,0,0,0,0,68,54,0,0,0,0,54,31,0,0,0,0,31,8,0,0,0,0,8,12,0,0,0,0,12,20,0,0,0,0,20,32,0,0,0,0,32,396,4,0,0,0,401
LGA13010,72,0,0,0,0,72,40,0,0,0,0,41,42,0,0,0,0,40,101,0,0,0,0,101,117,0,0,0,0,121,184,0,0,0,0,186,84,0,0,4,0,85,83,0,0,0,0,85,29,0,0,0,0,32,23,0,0,0,0,23,33,0,0,0,0,33,56,0,0,0,0,62,866,4,0,8,0,876
LGA13310,135,12,3,0,0,148,56,4,3,0,0,65,69,5,3,0,0,76,110,5,0,0,0,120,201,8,3,0,0,212,620,32,4,0,0,659,752,28,0,4,0,784,868,14,0,0,0,888,364,3,0,0,0,373,249,5,0,0,0,250,134,3,0,0,0,139,188,6,3,0,0,191,3752,118,16,4,4,3896
LGA13340,90,0,0,0,0,91,48,0,0,0,0,51,48,0,0,0,0,48,104,0,0,0,0,103,135,0,0,0,0,135,299,3,0,0,0,305,234,0,0,0,0,233,170,0,0,0,0,169,70,0,0,0,0,70,46,0,0,0,0,51,51,0,0,0,0,51,91,0,0,0,0,91,1390,3,0,0,0,1398
LGA13450,119,6,0,0,0,125,60,0,0,0,0,60,52,6,0,0,0,49,96,4,3,0,0,107,182,6,7,0,0,196,603,14,11,0,0,626,540,10,12,0,4,567,479,3,0,0,0,481,136,0,0,0,0,140,110,0,0,0,0,110,78,0,0,0,0,78,156,0,0,0,0,166,2611,44,40,0,9,2699
LGA13550,79,6,0,0,0,87,24,0,0,0,0,24,39,0,0,0,0,41,75,0,0,0,0,79,112,0,0,0,0,116,321,3,0,0,0,323,281,6,0,0,0,285,245,0,0,0,0,246,96,0,0,0,0,101,81,0,0,0,0,81,39,0,0,0,0,43,101,3,0,0,0,103,1494,18,0,3,0,1531
LGA13660,62,0,0,0,0,67,18,0,0,0,0,18,30,0,0,0,0,30,37,0,0,0,0,37,37,0,0,0,0,37,76,0,0,0,0,76,44,0,0,0,0,44,23,0,0,0,0,23,14,0,0,0,0,14,13,0,0,0,0,19,16,0,0,0,0,16,25,0,0,0,0,25,403,0,0,0,0,402
LGA13800,380,22,0,0,0,406,98,6,4,0,0,102,96,13,3,0,0,112,184,12,0,0,0,199,203,24,12,3,0,234,720,68,16,0,0,803,933,109,21,4,0,1068,1782,138,9,0,5,1931,1430,50,5,0,4,1485,1442,22,7,0,0,1472,984,7,5,0,5,1005,575,31,5,0,4,606,8824,498,85,7,15,9424
LGA13850,12,0,0,0,0,12,18,0,0,0,0,18,17,0,0,0,0,17,44,0,0,0,0,47,35,0,0,0,0,38,47,0,0,0,0,47,31,0,0,0,0,31,9,3,0,0,0,13,3,0,0,0,0,3,6,0,0,0,0,9,0,0,0,0,0,0,14,0,0,0,0,14,243,3,0,0,0,246
LGA13910,117,3,0,0,0,126,57,4,0,0,0,62,83,4,0,0,0,81,168,3,0,0,0,176,225,7,5,0,0,239,488,14,0,0,0,502,330,0,0,0,0,330,235,0,0,0,0,233,76,0,0,0,0,81,58,0,0,0,0,60,44,0,0,0,0,43,121,0,0,0,0,120,1993,42,9,0,6,2048
LGA14000,903,75,118,0,0,1099,203,18,20,0,0,242,151,22,23,0,0,203,235,22,45,0,0,306,316,22,60,0,0,395,879,92,250,3,4,1226,1019,117,353,0,0,1491,2039,198,989,4,0,3230,1733,204,601,4,0,2545,3077,346,324,0,0,3749,4374,198,158,0,0,4729,991,58,144,0,5,1201,15929,1377,3094,14,12,20421
LGA14100,75,4,5,0,0,90,5,0,0,0,0,7,12,0,0,0,0,13,12,3,0,0,0,10,16,0,5,0,0,20,46,9,9,0,0,60,37,8,9,0,0,57,78,27,29,0,0,123,54,18,30,0,0,93,111,37,31,0,0,180,620,74,19,0,0,716,83,12,10,0,0,109,1135,198,141,0,0,1476
LGA14170,405,349,234,9,0,1003,92,74,57,0,0,219,66,55,60,0,0,190,88,84,113,0,0,280,128,132,154,0,0,416,392,343,483,10,3,1224,380,360,659,14,0,1410,721,754,1400,22,5,2899,622,667,1141,11,0,2446,1234,1471,1070,12,0,3790,3016,2832,646,14,10,6506,430,359,269,13,0,1069,7575,7483,6286,90,19,21456
LGA14220,110,0,0,0,0,112,52,0,0,4,0,53,80,0,0,0,0,80,162,3,0,0,0,165,198,4,0,0,0,203,499,6,0,6,0,501,259,0,0,0,0,265,235,0,0,0,0,234,72,0,0,0,0,73,42,0,0,0,0,42,43,0,0,0,0,43,91,0,0,0,0,100,1840,11,0,9,4,1866
LGA14300,40,0,0,0,0,40,27,0,0,0,0,22,17,0,0,0,0,17,54,0,0,5,0,57,62,0,0,0,0,62,161,0,0,0,0,160,98,0,0,0,0,103,86,4,0,0,0,87,12,0,0,0,0,12,26,0,0,0,0,24,20,0,0,0,0,23,32,0,0,0,0,34,638,7,0,9,0,654
LGA14350,154,3,0,4,0,167,108,3,3,0,0,115,82,3,7,0,0,89,178,0,3,0,0,182,229,3,3,0,0,242,698,12,15,0,0,724,531,5,7,0,0,553,474,4,0,0,0,484,136,0,3,0,0,140,109,0,0,0,0,112,40,0,0,0,0,45,186,4,0,0,0,190,2936,39,52,10,7,3036
LGA14400,130,16,7,0,0,151,34,5,7,0,0,40,18,3,0,0,0,29,45,8,0,0,0,54,65,4,0,0,0,72,192,22,10,0,0,227,206,53,6,0,0,265,444,64,14,0,0,519,352,41,7,0,0,396,391,31,11,0,0,431,257,13,5,0,0,281,121,16,6,0,0,143,2266,282,69,0,0,2617
LGA14500,785,27,123,0,0,934,119,4,17,0,0,141,94,9,33,0,0,132,125,6,44,0,0,174,147,5,36,0,0,190,514,20,150,5,0,689,447,24,171,0,5,643,947,44,510,15,4,1522,741,28,529,7,0,1308,1615,63,599,12,0,2288,5966,133,439,5,0,6545,839,26,165,0,0,1036,12336,394,2812,43,3,15594
LGA14550,59,0,0,0,0,59,47,0,0,0,0,47,48,0,0,0,0,48,82,0,0,0,0,80,82,0,0,0,0,82,214,0,0,5,0,218,157,0,0,0,0,155,112,0,0,0,0,112,25,0,0,0,0,28,32,0,0,0,0,32,27,0,0,0,0,27,68,0,0,0,0,68,938,0,0,7,0,948
LGA14600,69,0,0,0,0,67,25,0,0,0,0,30,26,0,0,0,0,26,63,0,0,0,0,63,58,0,0,0,0,64,94,0,0,0,0,94,47,0,0,0,0,42,33,0,0,0,0,33,12,0,0,0,0,12,12,0,0,0,0,12,19,0,0,0,0,18,48,0,0,0,0,48,508,0,0,5,5,514
LGA14650,1198,85,16,3,0,1298,498,22,8,0,0,531,403,32,21,0,0,453,711,55,11,8,0,780,962,32,24,0,0,1026,3116,180,72,4,3,3373,4409,268,80,0,0,4753,7247,246,85,4,0,7584,3810,80,23,3,3,3919,2510,39,14,3,0,2559,1415,20,5,0,0,1439,1501,61,20,4,3,1583,27772,1125,376,22,13,29304
LGA14700,169,11,78,0,0,254,19,4,30,0,0,50,16,3,10,0,0,26,25,3,19,0,0,50,22,3,36,0,0,64,73,8,148,0,0,231,60,6,218,0,0,279,186,32,543,0,0,766,127,12,507,0,0,654,301,40,452,0,0,800,1156,104,300,0,0,1560,162,16,133,0,0,308,2315,242,2475,0,0,5042
LGA14750,69,0,3,0,0,72,38,0,0,0,0,37,40,0,0,0,0,44,80,0,7,0,0,93,122,0,8,0,0,132,298,3,10,5,0,314,191,0,0,0,0,193,170,0,0,0,0,173,62,0,0,0,0,62,42,0,0,0,0,46,28,0,0,0,0,28,85,0,0,0,0,89,1228,8,24,11,5,1278
LGA14850,268,8,4,0,0,283,102,7,4,0,0,119,140,12,8,0,0,155,230,23,15,0,0,267,319,18,12,0,0,353,964,61,21,0,0,1045,1051,29,11,0,3,1102,1032,24,5,0,0,1058,349,0,0,0,0,356,260,4,0,4,0,266,141,3,0,0,0,145,274,8,5,0,0,290,5138,201,91,8,6,5441
LGA14870,103,6,0,0,0,113,74,0,0,0,0,80,58,4,0,0,0,60,105,4,0,0,0,110,184,10,0,0,0,200,497,8,0,0,0,507,444,5,0,3,0,461,384,0,3,0,0,388,191,0,0,0,0,192,144,0,0,0,0,148,75,0,0,0,0,77,126,3,0,0,0,128,2389,44,6,12,8,2459
LGA14900,990,91,76,0,4,1149,268,26,29,0,0,321,231,32,28,0,0,286,381,41,57,0,0,485,556,62,77,0,0,700,1679,219,313,0,0,2218,2200,338,437,0,4,2981,4701,724,460,0,16,5908,3936,387,128,0,30,4482,3907,207,89,0,13,4211,2014,87,55,0,4,2167,1623,145,125,0,3,1900,22478,2370,1877,0,70,26804
LGA14920,39,0,0,0,0,39,22,0,0,0,0,22,42,0,0,0,0,42,65,0,0,0,0,64,88,0,0,0,0,92,147,3,3,0,0,147,95,0,0,0,0,101,60,0,0,0,0,62,31,0,0,0,0,31,28,0,0,0,0,28,17,0,0,0,0,17,53,0,0,0,0,56,694,8,4,3,0,706
LGA14950,38,0,0,0,5,38,13,0,0,0,0,13,24,0,0,0,0,24,31,0,0,0,0,39,35,0,0,0,0,32,63,0,0,0,0,63,45,0,0,0,0,45,38,0,0,0,0,38,15,0,0,0,0,15,8,0,0,0,0,8,15,0,0,0,0,16,24,0,0,0,0,24,345,0,0,3,6,351
LGA15050,431,13,0,0,0,435,169,11,0,0,0,185,159,11,0,0,0,167,272,15,5,0,0,294,421,26,4,0,0,454,1626,97,11,3,0,1735,2456,99,13,0,0,2568,3399,57,3,4,4,3465,1410,15,0,0,0,1427,908,0,0,0,0,916,448,3,0,0,0,452,626,21,0,0,0,650,12325,366,41,8,7,12750
LGA15240,465,31,20,3,3,519,244,21,13,0,0,277,254,13,9,3,0,277,468,23,18,0,0,508,635,30,15,7,0,680,1713,85,38,8,3,1847,1656,60,31,0,0,1749,1629,34,13,0,0,1676,672,11,3,0,0,690,389,7,8,0,0,406,254,9,6,0,0,266,530,31,13,3,0,576,8900,351,189,27,13,9485
LGA15270,113,7,0,4,0,121,89,0,0,0,0,95,76,0,0,0,0,74,114,4,0,0,0,120,172,6,0,0,0,174,482,13,0,0,0,491,566,13,0,0,0,576,677,6,0,0,0,679,264,0,0,0,0,267,200,3,0,0,0,203,134,0,0,0,0,135,164,5,0,0,0,170,3045,51,3,12,0,3108
