LGA_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
LGA21670,..,7,0,7,0,7,..,22,4,29,0,29,..,0,0,0,0,0,..,0,0,0,0,0,..,6,4,13,0,12,..,24,3,28,0,28,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,30,0,31,0,30,..,14,0,14,0,14,..,7,0,9,0,9,..,5,0,5,0,5,..,0,0,0,0,0,..,66,4,67,0,69,..,19,0,15,0,15,..,3,0,3,0,3,..,7,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,11,0,11,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,28,4,31,0,32,..,0,0,0,0,0,..,27,0,27,0,23,..,8,0,8,0,8,..,71,4,70,3,69,..,10,0,10,0,10,..,0
LGA21750,..,6,21,29,0,29,..,173,196,372,0,370,..,8,0,8,0,8,..,27,5,29,0,29,..,35,0,35,0,34,..,37,3,45,0,45,..,10,0,10,0,10,..,0,0,0,0,0,..,16,0,13,0,13,..,26,0,26,0,26,..,25,8,28,0,28,..,19,0,24,0,24,..,0,0,0,0,0,..,6,0,6,0,6,..,100,14,110,0,116,..,54,0,57,0,55,..,27,0,24,0,24,..,0,0,0,0,0,..,15,6,22,0,22,..,3,0,7,0,7,..,31,3,35,0,35,..,6,0,4,0,4,..,7,0,7,0,5,..,3,0,3,0,3,..,7,0,10,4,10,..,33,4,28,0,28,..,0,0,4,0,4,..,38,0,41,0,41,..,22,0,24,0,24,..,29,3,26,0,26,..,34,4,41,0,41,..,119,12,135,0,134,..,10,0,10,0,10,..,10
LGA21830,..,0,0,0,0,0,..,17,9,23,0,23,..,0,0,0,0,0,..,7,0,7,0,7,..,17,0,19,0,19,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,12,0,15,0,16,..,13,3,18,0,18,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,46,5,49,0,47,..,7,3,13,0,13,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,5,0,5,0,5,..,4,4,7,0,7,..,10,0,14,0,14,..,0,0,0,0,0,..,3,0,7,0,7,..,33,0,33,0,33,..,6,0,6,0,6,..,29,0,34,0,34,..,7,0,13,0,13,..,77,4,79,0,79,..,38,5,46,0,46,..,0
LGA21890,..,168,66,231,6,235,..,4090,2339,6428,52,6478,..,376,64,441,4,442,..,507,14,523,8,533,..,505,16,518,7,527,..,6548,1919,8465,47,8510,..,284,21,308,3,310,..,226,14,238,3,246,..,1000,55,1057,7,1063,..,1032,30,1060,3,1071,..,711,49,761,6,766,..,485,22,510,6,507,..,614,44,658,14,666,..,165,10,177,0,177,..,4523,251,4775,40,4809,..,6285,1463,7746,62,7806,..,421,36,458,5,460,..,59,21,78,0,82,..,153,22,172,0,175,..,1589,363,1953,17,1971,..,224,16,241,8,243,..,304,56,356,0,357,..,171,13,184,0,184,..,315,31,349,3,348,..,103,9,108,0,114,..,61,14,77,0,77,..,278,63,341,3,342,..,299,6,305,0,309,..,251,21,278,4,276,..,396,14,414,5,417,..,178,9,192,0,192,..,1125,59,1187,7,1192,..,1348,119,1466,14,1475,..,424
LGA22110,..,17,0,17,0,17,..,146,56,197,0,197,..,4,4,4,0,4,..,62,3,63,0,62,..,122,0,126,7,130,..,65,7,67,0,70,..,0,0,0,0,0,..,13,4,12,0,12,..,24,0,24,0,24,..,21,0,18,0,18,..,84,4,90,0,89,..,16,0,16,0,16,..,19,0,19,0,19,..,8,0,8,0,12,..,187,11,197,6,195,..,168,6,178,3,181,..,8,0,11,0,11,..,4,0,6,0,6,..,10,0,16,0,16,..,3,0,3,0,3,..,23,0,23,0,23,..,11,0,11,0,11,..,25,9,35,0,35,..,8,4,8,0,8,..,6,0,10,0,10,..,0,0,0,0,0,..,8,0,8,0,8,..,91,7,92,0,92,..,13,3,13,0,13,..,89,5,93,0,93,..,63,18,82,0,77,..,257,22,275,0,277,..,48,4,53,0,53,..,34
LGA22170,..,48,22,69,0,68,..,1305,516,1823,15,1839,..,242,25,266,0,265,..,345,9,353,8,363,..,420,17,433,10,438,..,1076,146,1224,15,1238,..,45,0,48,0,50,..,68,7,77,0,77,..,407,23,430,6,431,..,84,11,91,0,92,..,318,28,354,11,360,..,234,20,255,7,256,..,75,0,80,0,76,..,62,4,70,0,70,..,1297,97,1393,20,1414,..,655,53,712,4,712,..,126,9,131,0,133,..,108,36,140,0,141,..,93,31,121,0,121,..,57,9,64,0,61,..,522,35,553,7,561,..,121,14,135,0,140,..,303,41,343,4,350,..,127,18,147,0,146,..,571,124,693,5,699,..,179,8,186,0,186,..,251,32,285,0,288,..,397,18,413,8,416,..,151,10,152,0,152,..,467,12,480,4,484,..,128,3,132,0,132,..,1137,42,1183,8,1190,..,587,75,662,6,671,..,307
LGA22250,..,0,0,0,0,0,..,15,6,22,0,22,..,4,0,4,0,4,..,4,0,4,0,4,..,5,0,5,0,5,..,10,3,10,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,8,0,8,0,8,..,16,9,22,0,22,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,36,9,40,0,44,..,4,5,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,11,0,11,0,11,..,3,0,3,0,3,..,0,0,0,0,0,..,9,3,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,32,4,31,0,33,..,0,0,0,0,0,..,21,0,21,0,21,..,5,0,5,0,5,..,52,4,53,0,55,..,4,0,4,0,4,..,0
LGA22310,..,232,66,298,0,302,..,8286,2150,10434,83,10520,..,196,27,220,0,220,..,1158,46,1209,14,1223,..,494,12,515,5,518,..,4511,842,5353,13,5373,..,228,12,243,0,241,..,992,51,1039,8,1045,..,1764,59,1830,16,1842,..,461,13,470,5,473,..,394,16,409,3,413,..,430,9,434,0,437,..,169,8,176,5,177,..,416,12,425,3,433,..,4858,172,5033,39,5067,..,1376,135,1515,17,1532,..,850,158,1009,11,1027,..,60,4,65,0,63,..,576,138,711,0,716,..,91,8,96,0,100,..,276,5,282,3,290,..,232,17,252,0,252,..,613,52,668,3,674,..,318,18,340,0,338,..,3827,749,4578,41,4613,..,12,3,16,0,15,..,387,31,416,3,421,..,290,5,299,7,304,..,464,29,496,5,500,..,324,7,330,3,330,..,127,3,134,0,134,..,1206,49,1256,11,1270,..,1163,72,1235,11,1248,..,780
LGA22410,..,9,0,7,0,7,..,33,3,37,0,37,..,7,0,7,0,7,..,14,0,14,0,14,..,18,0,18,0,18,..,24,3,22,0,29,..,5,4,3,0,3,..,6,0,6,0,6,..,13,0,14,0,14,..,43,0,43,0,43,..,25,0,25,0,25,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,91,0,98,0,98,..,18,0,18,0,18,..,16,0,17,0,17,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,6,0,6,..,7,0,7,0,7,..,8,0,8,0,8,..,3,0,3,0,3,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,32,0,37,0,37,..,9,0,9,0,9,..,31,0,27,0,27,..,13,0,13,0,13,..,83,4,83,0,83,..,20,0,20,0,20,..,4
LGA22490,..,0,0,0,0,0,..,32,5,37,0,37,..,42,5,41,0,41,..,23,3,30,0,30,..,43,0,43,0,43,..,26,0,26,0,26,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,8,0,7,0,7,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,3,..,26,0,28,0,28,..,46,4,48,6,49,..,14,0,16,0,16,..,0,0,4,0,4,..,5,0,5,0,5,..,15,0,19,0,19,..,9,0,9,0,9,..,5,0,5,0,5,..,14,4,17,4,17,..,3,0,3,0,3,..,12,0,12,0,12,..,5,0,5,0,5,..,26,0,27,0,27,..,13,0,13,0,13,..,9,0,11,0,11,..,9,0,9,0,9,..,0,0,0,0,0,..,28,0,25,0,25,..,30,9,37,0,37,..,0
LGA22620,..,14,0,17,0,17,..,556,184,740,5,752,..,36,8,44,0,44,..,101,3,102,0,98,..,117,3,124,3,124,..,144,23,168,6,170,..,79,4,80,0,80,..,65,9,73,0,73,..,203,8,216,3,214,..,120,5,129,0,132,..,427,26,455,10,464,..,183,17,197,0,199,..,125,4,135,0,135,..,43,0,47,0,47,..,1248,76,1324,19,1342,..,183,16,200,0,198,..,52,3,55,0,55,..,20,3,23,0,23,..,46,17,62,0,62,..,11,0,11,0,11,..,450,37,484,6,495,..,38,8,44,0,48,..,25,0,25,0,25,..,38,9,49,4,48,..,36,5,41,0,41,..,10,0,12,0,12,..,19,4,21,0,21,..,216,6,216,5,221,..,77,9,85,0,85,..,232,9,237,4,240,..,114,19,128,0,131,..,632,38,672,4,683,..,106,10,117,3,117,..,80
LGA22670,..,927,505,1430,5,1434,..,7616,4349,11962,80,12049,..,521,153,675,7,681,..,681,26,704,6,716,..,177,13,186,6,194,..,2711,775,3483,28,3509,..,653,28,680,8,687,..,718,55,778,12,786,..,2102,136,2244,14,2256,..,285,25,305,3,311,..,4949,407,5351,51,5399,..,3633,240,3873,33,3907,..,1549,146,1695,21,1715,..,365,9,375,0,373,..,14255,1050,15302,145,15447,..,1491,372,1860,12,1877,..,159,25,187,0,186,..,5916,3693,9614,60,9663,..,432,192,620,12,630,..,242,63,303,0,303,..,969,70,1038,14,1056,..,592,214,800,3,809,..,488,141,630,5,631,..,155,26,184,0,184,..,370,104,473,0,474,..,454,49,503,0,507,..,1420,596,2009,12,2027,..,908,18,929,6,940,..,633,167,801,10,811,..,1109,41,1148,8,1152,..,1451,584,2029,22,2057,..,4102,810,4913,52,4955,..,1063,276,1341,20,1361,..,2417
LGA22750,..,78,14,92,0,92,..,2185,517,2702,37,2737,..,1640,333,1970,10,1984,..,428,21,450,5,450,..,585,17,598,14,611,..,915,143,1058,19,1077,..,207,15,217,3,225,..,385,17,406,3,406,..,928,30,958,3,965,..,352,18,371,7,379,..,1943,162,2113,30,2138,..,513,24,536,4,540,..,612,46,658,10,668,..,159,0,163,0,160,..,5101,318,5419,62,5482,..,1846,241,2086,26,2113,..,269,16,281,0,285,..,54,24,81,0,81,..,173,27,196,0,196,..,904,193,1099,4,1102,..,729,45,775,5,782,..,383,78,463,3,470,..,373,49,426,0,430,..,238,24,263,5,267,..,273,43,318,0,322,..,39,4,44,5,51,..,669,160,830,6,836,..,662,19,679,3,682,..,223,9,227,0,234,..,765,17,776,4,784,..,228,9,240,6,239,..,1880,55,1931,13,1947,..,717,104,823,9,836,..,420
LGA22830,..,8,6,16,0,16,..,469,279,741,19,760,..,31,6,33,0,32,..,54,0,53,0,53,..,66,4,67,3,75,..,184,32,218,3,223,..,53,0,55,0,55,..,172,28,197,3,201,..,174,15,193,0,193,..,94,20,113,0,113,..,1296,240,1532,17,1549,..,132,9,135,3,137,..,188,15,206,0,208,..,62,4,59,0,60,..,2169,325,2492,24,2518,..,913,150,1071,18,1087,..,21,4,22,0,22,..,8,11,21,0,21,..,16,3,17,0,17,..,169,22,190,0,190,..,443,31,475,12,489,..,59,37,102,0,102,..,17,0,17,0,17,..,22,0,22,0,20,..,8,0,8,0,8,..,196,18,212,0,212,..,21,6,19,0,19,..,247,12,255,0,259,..,60,11,74,6,82,..,259,3,262,3,272,..,256,119,377,10,380,..,822,144,970,19,987,..,67,14,81,0,81,..,144
LGA22910,..,5,0,7,0,7,..,57,8,61,0,61,..,23,7,31,0,31,..,36,0,40,0,40,..,56,0,56,0,56,..,28,0,32,0,32,..,3,0,3,0,3,..,3,0,3,0,3,..,13,0,13,0,13,..,28,3,29,0,29,..,18,0,18,0,18,..,9,0,15,0,15,..,3,0,3,0,3,..,0,0,0,0,0,..,78,5,84,0,84,..,72,4,71,0,71,..,25,5,27,0,27,..,6,0,8,0,8,..,3,0,3,0,3,..,13,4,14,0,14,..,0,0,0,0,0,..,3,0,5,0,5,..,16,0,16,0,14,..,10,0,10,0,10,..,0,0,3,0,5,..,0,0,0,0,0,..,34,7,37,0,37,..,9,0,9,0,9,..,4,0,4,0,4,..,16,0,16,0,16,..,3,0,3,0,3,..,37,0,31,0,31,..,32,0,27,0,34,..,0
LGA22980,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,4,0,4,0,4,..,0,4,7,0,7,..,3,3,3,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,9,0,9,0,9,..,3,0,3,0,3,..,4,0,4,0,4,..,6,0,6,0,6,..,0,0,0,0,0,..,26,0,26,0,26,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,15,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,8,0,8,0,11,..,0,0,0,0,0,..,19,0,19,0,19,..,4,0,4,0,4,..,36,0,36,0,35,..,0,0,0,0,0,..,5
LGA23110,..,91,15,104,0,109,..,1569,510,2078,29,2104,..,628,108,737,3,737,..,295,12,312,6,314,..,336,6,346,6,350,..,1849,410,2260,5,2269,..,106,8,110,4,118,..,147,5,150,0,150,..,714,24,747,7,750,..,242,0,246,4,251,..,665,65,729,9,741,..,101,7,105,0,101,..,239,14,261,6,269,..,111,7,114,0,117,..,2330,133,2459,34,2491,..,1541,275,1818,12,1831,..,171,24,190,0,194,..,112,33,145,0,145,..,75,20,95,0,101,..,817,206,1024,5,1030,..,104,11,119,0,119,..,184,20,208,3,208,..,289,49,341,0,342,..,261,24,283,5,288,..,139,24,163,0,168,..,69,0,70,0,70,..,479,110,588,0,587,..,373,15,391,0,390,..,311,30,341,8,346,..,453,10,464,0,465,..,119,7,128,0,130,..,1258,61,1319,14,1331,..,737,89,830,4,832,..,183
LGA23190,..,4,0,0,0,0,..,63,12,74,3,78,..,0,0,0,0,0,..,18,0,17,0,17,..,10,6,14,0,14,..,18,0,23,0,23,..,13,0,13,0,10,..,22,0,20,0,20,..,34,4,31,0,34,..,37,4,40,0,47,..,44,3,45,0,45,..,13,0,13,0,13,..,11,0,11,0,11,..,6,0,6,0,6,..,176,9,189,6,189,..,57,0,61,0,61,..,15,0,15,0,15,..,6,0,6,0,6,..,6,0,6,0,6,..,0,0,0,0,0,..,71,14,80,0,80,..,5,0,5,0,5,..,10,0,9,0,9,..,6,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,37,0,36,0,36,..,4,0,4,0,4,..,45,0,46,0,46,..,17,0,18,0,18,..,102,0,105,0,105,..,25,0,25,0,25,..,10
LGA23270,..,125,39,160,0,162,..,1571,518,2087,25,2112,..,703,101,805,0,813,..,221,14,233,4,238,..,203,8,212,5,220,..,2367,381,2751,16,2769,..,636,51,682,5,691,..,624,42,661,7,667,..,3813,196,4010,39,4049,..,2618,446,3063,53,3114,..,11231,1244,12475,180,12653,..,3645,257,3903,23,3930,..,5000,330,5333,83,5415,..,439,15,453,7,457,..,28001,2580,30584,401,30981,..,4361,499,4860,24,4880,..,135,14,145,3,147,..,54,10,67,0,67,..,117,35,157,0,158,..,651,74,725,10,737,..,1350,78,1422,26,1453,..,530,161,687,6,693,..,322,34,357,4,358,..,300,46,348,4,348,..,125,18,144,4,148,..,1902,187,2088,20,2107,..,471,98,571,0,569,..,1208,40,1241,9,1254,..,313,25,341,7,352,..,1489,40,1530,14,1543,..,525,40,566,4,566,..,3532,147,3682,36,3715,..,1064,182,1241,3,1249,..,890
LGA23350,..,0,0,0,0,0,..,21,3,25,0,25,..,6,0,6,0,6,..,21,0,21,0,21,..,41,0,44,0,44,..,5,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,20,3,21,0,21,..,52,0,52,5,56,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,8,..,11,0,11,0,11,..,14,0,14,0,14,..,0,0,0,0,0,..,28,0,28,0,33,..,14,0,14,0,16,..,0
LGA23430,..,377,199,570,3,577,..,5579,2091,7673,60,7734,..,433,54,484,3,488,..,726,31,755,17,768,..,537,13,551,6,561,..,5275,1269,6543,71,6611,..,234,13,245,0,245,..,612,48,651,8,656,..,1462,53,1512,10,1517,..,238,12,255,4,257,..,885,58,942,7,952,..,646,15,666,5,673,..,231,10,239,3,244,..,288,14,302,0,303,..,4595,229,4817,34,4853,..,1763,222,1983,15,1999,..,492,49,543,11,545,..,604,282,891,7,892,..,308,86,394,8,402,..,116,12,128,0,128,..,434,17,448,6,454,..,187,28,217,6,216,..,626,62,684,7,690,..,312,23,339,4,344,..,1753,311,2065,15,2081,..,44,0,49,0,49,..,457,56,517,4,520,..,434,6,440,3,447,..,220,21,245,3,249,..,586,8,602,0,605,..,184,14,198,0,203,..,1431,56,1487,15,1499,..,1096,98,1194,22,1214,..,732
LGA23670,..,660,119,780,0,783,..,13532,4109,17638,191,17829,..,250,26,278,0,278,..,284,10,294,0,297,..,803,36,840,6,845,..,1517,183,1695,6,1707,..,209,7,213,0,216,..,897,76,978,5,983,..,1428,45,1471,6,1482,..,237,23,259,7,268,..,999,61,1052,8,1065,..,2563,123,2684,19,2705,..,347,16,360,0,365,..,429,16,445,5,452,..,7106,369,7476,60,7533,..,1253,124,1377,13,1389,..,216,23,234,10,242,..,302,120,422,0,421,..,740,201,939,10,949,..,128,15,135,0,138,..,557,19,573,0,572,..,942,197,1130,14,1144,..,466,51,522,7,526,..,108,9,119,0,119,..,245,31,272,0,277,..,59,5,59,0,59,..,284,42,325,0,326,..,501,13,514,4,518,..,629,43,668,8,682,..,601,18,622,7,626,..,279,8,287,4,293,..,2013,82,2092,20,2115,..,644,81,725,10,734,..,1382
LGA23810,..,12,10,20,0,20,..,306,101,407,8,412,..,61,11,72,0,72,..,53,0,56,0,56,..,150,4,160,0,160,..,239,52,290,3,289,..,35,8,44,0,44,..,17,0,13,0,13,..,85,3,92,0,93,..,38,5,41,0,41,..,145,9,156,5,160,..,106,5,107,0,107,..,68,10,77,0,77,..,22,0,22,0,23,..,514,30,551,5,555,..,522,95,617,3,619,..,27,21,43,0,43,..,16,12,20,0,20,..,9,3,17,0,17,..,8,0,14,0,14,..,208,10,220,4,219,..,6,0,6,0,6,..,76,16,93,0,93,..,19,0,21,0,21,..,29,0,29,0,29,..,34,3,36,0,36,..,46,11,63,0,63,..,185,6,194,4,192,..,37,0,44,3,42,..,199,10,207,0,210,..,56,7,60,0,60,..,476,32,502,6,512,..,120,17,135,0,139,..,45
LGA23940,..,0,0,0,0,0,..,5,10,10,0,10,..,0,0,0,0,0,..,5,0,5,0,5,..,8,0,8,0,8,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,10,5,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,16,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,51,5,49,0,49,..,3,0,5,0,5,..,30,3,34,0,36,..,21,6,20,0,20,..,104,8,113,0,111,..,3,0,3,0,3,..,3
LGA24130,..,13,5,13,0,13,..,142,87,229,4,227,..,61,4,68,0,69,..,118,6,129,0,124,..,158,3,165,0,163,..,129,7,136,5,138,..,6,0,6,0,6,..,4,0,4,0,4,..,33,3,36,0,36,..,19,3,20,0,20,..,56,7,64,5,71,..,10,0,10,0,10,..,7,0,7,0,9,..,3,0,3,0,3,..,142,14,162,3,162,..,250,9,262,0,261,..,28,0,30,0,30,..,4,0,3,0,3,..,4,0,4,0,4,..,42,0,45,0,45,..,10,0,10,0,10,..,0,0,0,0,0,..,52,4,55,3,54,..,9,0,9,4,13,..,10,6,14,0,14,..,3,0,3,0,3,..,13,3,20,0,20,..,32,0,29,0,29,..,8,0,8,0,8,..,42,0,40,0,40,..,14,3,18,0,18,..,99,4,101,0,101,..,125,5,129,0,129,..,7
