LGA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
LGA10800,0,0,0,0,0,3,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,9,7,11,8,4,0,38,0,0,0,0,0,0,0,0,0,0
LGA10850,0,0,0,0,0,0,13,12,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,9,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,4,0,19,0,0,0,10,18,20,14,8,0,82,0,0,0,0,0,0,0,0,0,0
LGA10900,0,5,12,71,72,90,149,125,29,538,0,0,0,5,12,11,17,24,5,68,0,0,4,21,25,14,16,6,0,93,3,16,14,141,41,30,38,36,11,331,0,6,5,38,17,11,14,9,3,105,0,0,0,20,8,6,4,0,0,35,0,0,0,16,9,5,0,0,0,27,0,10,3,59,63,62,70,35,9,310,0,0,0,20,17,31,49,23,11,160,0,9,3,32,32,20,16,9,0,119,0,5,8,25,14,25,5,4,0,81,0,0,5,13,10,22,7,11,0,65,0,7,0,30,52,36,36,10,3,170,0,5,0,0,6,13,34,19,4,86,0,0,0,12,3,18,15,4,5,44,0,0,0,4,0,0,4,0,6,16,0,0,5,33,4,4,0,0,0,48,0,8,3,22,40,40,118,81,21,330,0,21,32,230,247,312,214,90,24,1168,0,0,0,0,5,0,3,0,0,9
LGA10950,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,5,0,0,19,0,0,0,0,0,0,0,0,0,0
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,3,4,0,0,0,25,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,11,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0
LGA11250,0,0,0,0,4,0,10,10,10,35,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,3,8,0,44,4,8,0,0,0,67,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,4,3,8,12,25,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,10,7,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,4,4,0,18,0,5,3,27,13,13,12,3,0,72,0,0,0,0,0,0,0,0,0,0
LGA11300,0,0,0,19,6,9,22,17,5,76,0,0,0,3,6,29,81,150,61,346,0,30,98,299,99,133,131,24,0,832,19,92,100,729,121,80,64,31,15,1249,0,0,65,215,47,30,27,24,6,411,0,0,0,33,9,0,5,0,0,55,0,0,5,13,6,3,0,5,0,34,0,5,0,51,18,24,14,9,0,128,0,0,5,69,46,107,231,252,184,902,0,3,19,62,21,10,6,4,3,126,0,21,100,435,181,130,70,42,11,985,0,4,24,86,102,133,144,83,34,610,0,0,100,474,86,46,32,28,9,771,0,0,0,0,4,4,10,15,5,34,0,0,3,4,3,4,6,0,0,21,0,0,12,18,19,30,7,4,3,96,4,9,1690,1323,30,4,0,0,0,3060,0,0,0,0,4,3,4,7,0,22,3,11,50,121,63,72,36,15,3,363,0,0,0,5,6,7,4,0,0,20
LGA11350,0,10,27,132,64,103,94,30,3,462,0,0,0,5,6,0,5,3,3,17,0,0,0,10,7,10,3,0,0,22,0,0,4,48,12,12,16,5,3,97,0,10,0,20,11,5,8,0,0,57,0,0,0,5,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,5,39,25,20,9,10,0,114,0,4,12,156,22,17,18,4,4,239,3,11,15,102,40,12,7,3,0,196,0,0,4,15,0,0,0,0,0,18,0,0,0,7,0,3,0,0,0,13,0,0,3,12,9,9,8,3,0,44,0,0,0,0,0,0,5,0,0,14,0,0,0,0,4,0,4,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,17,4,4,4,58,21,26,35,21,6,176,0,32,31,262,167,179,135,33,10,850,0,0,0,0,0,0,0,0,0,3
LGA11400,0,0,0,4,0,3,10,9,7,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,6,0,18,4,4,0,0,0,34,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,12,0,0,0,0,0,5,3,4,4,21,0,0,0,0,4,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,5,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,7,6,0,18,0,4,3,27,24,32,20,15,0,122,0,0,0,0,0,0,0,0,0,0
LGA11450,0,6,10,63,33,36,88,50,15,299,0,5,14,23,13,40,42,21,9,156,0,6,9,46,21,25,7,3,0,123,10,182,182,1875,329,149,111,30,4,2866,0,8,12,110,56,26,24,9,0,240,0,10,3,120,33,23,11,3,0,204,0,22,89,659,225,162,97,29,7,1289,4,38,12,151,64,52,38,33,12,397,0,4,3,55,63,170,230,159,66,751,0,0,3,17,4,5,0,0,3,39,0,0,10,49,17,6,0,0,0,84,0,10,15,132,103,107,55,14,4,438,4,10,13,88,28,35,26,16,0,214,0,0,7,34,14,56,150,96,16,378,0,0,4,58,34,62,38,17,8,213,0,0,0,16,8,8,5,0,0,31,4,6,46,661,43,31,6,4,0,800,0,0,0,15,16,21,55,28,16,149,15,131,228,707,307,226,106,35,5,1763,0,0,0,47,44,39,25,8,0,170
LGA11500,0,5,16,52,36,57,128,105,29,426,0,0,16,26,38,72,91,86,8,343,0,9,28,111,39,74,53,10,4,325,47,490,587,3545,1099,589,318,129,32,6833,4,25,60,378,161,120,78,25,3,848,0,6,44,129,41,36,23,11,3,293,0,43,153,647,248,164,78,25,17,1373,0,17,15,60,35,41,58,48,7,287,3,0,7,51,44,90,132,109,53,498,0,12,17,38,22,9,7,0,0,107,0,5,13,102,32,22,14,12,0,192,5,16,42,434,317,331,200,72,15,1431,0,19,22,137,67,92,92,34,7,470,0,0,0,8,7,31,101,52,19,229,0,6,19,71,59,108,95,54,12,426,0,0,3,55,22,18,10,9,4,129,13,112,370,2735,270,113,50,6,0,3667,0,4,3,11,14,27,99,27,20,199,43,409,740,1681,628,449,247,89,20,4299,0,5,4,64,49,56,58,20,0,249
