SAL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SAL50448,3,8,0,0,0,0,0,0,4,12,4,12,0,0,0,0,0,3,0,3,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,3,4,0,0,12,30
SAL50449,6,6,0,0,0,0,0,0,0,14,4,18,0,0,0,0,0,5,0,5,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26
SAL50450,13,24,0,0,0,0,0,0,6,27,6,27,0,3,0,0,0,0,3,9,10,35,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,9,0,9,5,5,0,0,29,64
SAL50451,8,19,0,4,0,0,0,0,0,12,3,18,0,0,0,0,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,32
SAL50452,539,1046,7,28,23,103,9,45,190,694,224,871,16,63,20,71,73,231,109,366,338,1244,0,18,19,60,5,21,77,199,103,295,0,5,13,22,81,168,97,199,205,493,30,68,1106,2841
SAL50453,539,1085,16,112,66,327,16,90,585,2229,692,2760,26,108,43,159,114,359,181,631,877,3390,0,15,9,35,11,44,72,182,95,283,17,57,11,38,86,183,113,282,206,566,38,82,1657,5127
SAL50454,77,156,5,14,7,32,5,20,61,228,70,294,0,5,0,12,7,21,14,38,86,328,0,8,0,5,0,6,12,36,15,44,0,4,0,0,10,21,10,22,24,67,4,7,197,558
SAL50455,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,0,8,14
SAL50456,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,4,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
SAL50457,812,1603,10,59,122,551,9,40,505,1949,647,2602,51,223,142,474,146,458,342,1155,987,3753,3,10,29,80,4,12,86,223,126,330,13,24,45,94,79,171,132,294,259,622,19,40,2075,6022
SAL50458,3,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
SAL50459,8,8,0,0,0,0,0,0,4,5,4,5,0,0,0,0,0,4,0,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20
SAL50460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50461,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
SAL50462,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,9,3,9,0,0,11,27
SAL50463,4,11,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17
SAL50464,1877,3663,0,10,22,105,3,19,449,1507,478,1642,12,47,57,177,84,236,148,463,628,2106,0,6,17,41,6,19,80,176,102,247,3,4,44,105,104,206,156,316,252,563,74,148,2828,6478
SAL50465,35,64,0,0,0,7,0,8,8,49,13,58,0,4,0,4,12,28,13,33,28,97,0,0,4,5,0,0,3,0,3,9,0,0,0,0,0,0,0,0,5,5,0,0,64,171
SAL50466,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,5,10
SAL50467,40,82,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,4,0,4,5,11,0,0,0,0,0,0,9,11,9,11,0,0,0,0,8,11,8,11,10,16,0,3,51,114
SAL50468,1172,2297,6,53,83,384,18,73,762,2795,869,3304,37,164,105,347,98,307,240,818,1108,4120,3,30,19,55,12,30,114,265,139,380,15,42,41,100,133,278,187,426,330,808,83,176,2695,7395
SAL50469,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
SAL50470,5,11,0,0,0,9,0,0,3,13,3,19,0,0,0,0,0,3,0,3,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33
SAL50471,19,39,0,4,5,18,0,0,6,26,18,49,0,0,0,5,0,0,0,5,11,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,36,98
SAL50472,1009,1972,12,89,82,362,50,217,521,1987,665,2656,32,129,46,133,189,597,264,861,933,3515,7,36,30,110,20,77,185,460,250,688,19,46,34,67,117,254,163,370,410,1057,28,58,2374,6609
SAL50473,388,758,14,56,31,159,7,37,225,844,272,1088,19,77,24,86,99,306,142,475,409,1562,9,26,15,49,7,33,69,195,98,308,5,20,15,27,79,182,100,228,199,532,19,42,1012,2891
SAL50474,561,1117,6,49,53,230,16,64,344,1318,422,1662,24,100,50,159,122,379,192,634,613,2296,3,14,16,56,5,25,60,160,88,246,6,24,15,32,53,109,75,166,167,419,13,26,1351,3857
SAL50475,6,12,0,0,0,6,0,0,4,17,3,24,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,13,41
SAL50476,307,592,11,49,34,162,9,51,410,1527,465,1784,20,80,24,73,38,116,77,266,550,2054,0,3,6,27,9,26,100,262,121,317,5,17,15,24,50,104,67,142,184,462,13,28,1050,3128
SAL50477,13,30,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,45
SAL50478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,6,7,6,7,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,4,12
SAL50479,5,8,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9
SAL50480,19,42,0,0,0,3,0,5,7,25,11,35,0,3,0,0,0,8,4,11,15,47,0,0,0,0,0,0,6,10,6,12,0,0,0,0,0,0,4,3,6,14,0,0,38,106
SAL50481,66,122,0,5,6,15,0,0,17,55,24,76,0,0,0,11,12,35,14,43,32,118,0,0,3,15,0,0,10,19,9,32,0,0,0,0,0,0,6,4,12,33,0,0,112,276
SAL50482,1769,3472,84,496,341,1614,123,582,1978,7733,2525,10425,138,586,218,716,437,1393,798,2700,3327,13130,29,140,105,396,60,226,615,1737,809,2498,53,176,110,250,318,697,482,1123,1297,3622,88,184,6477,20413
SAL50483,7,13,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22
SAL50484,330,656,4,20,24,108,8,31,269,963,301,1125,21,80,23,89,65,211,106,376,412,1503,0,13,5,16,9,25,59,147,75,206,7,30,19,46,78,168,108,248,180,446,23,46,944,2648
SAL50485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50486,30,64,0,0,0,3,0,0,4,10,3,14,0,3,0,0,3,13,5,12,5,29,0,0,0,0,0,5,0,0,0,5,0,0,0,0,4,14,7,15,7,22,0,0,48,112
SAL50487,21,42,0,0,3,12,0,0,0,5,5,10,5,4,3,4,0,0,5,7,10,24,0,0,0,0,0,0,0,3,0,3,0,0,0,0,9,10,9,10,6,15,0,0,38,78
SAL50488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50489,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL50490,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50491,1010,1981,8,27,32,138,17,65,198,712,246,946,20,72,30,83,86,251,127,409,380,1352,0,8,19,73,8,26,80,202,109,304,10,18,21,41,72,143,95,202,202,512,11,20,1607,3871
SAL50492,211,408,3,15,9,34,5,22,84,328,104,394,6,22,12,22,23,65,40,107,137,507,0,3,9,24,0,4,24,65,36,92,5,11,11,17,30,56,43,88,78,187,9,28,440,1126
SAL50493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50494,4,14,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17
SAL50495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50496,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,10,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12
SAL50497,331,634,0,12,25,83,3,21,198,737,228,856,9,37,23,67,31,96,67,198,290,1057,0,0,5,10,0,0,29,79,32,92,3,4,8,16,25,54,36,74,68,164,3,8,700,1864
SAL50498,8,12,0,0,0,0,0,0,0,7,6,6,0,0,0,0,0,6,0,6,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,26
SAL50499,8,11,0,6,0,8,0,0,0,7,0,16,0,0,0,3,0,3,0,12,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,37
SAL50500,837,1625,6,46,37,172,24,89,250,917,319,1221,29,105,50,165,100,291,172,562,492,1781,8,24,10,40,3,24,104,274,126,357,7,12,26,49,92,192,123,258,247,617,19,40,1590,4056
SAL50501,43,82,0,0,0,8,0,0,13,49,13,59,0,0,4,15,4,13,11,29,26,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,10,5,13,0,0,70,179
SAL50502,498,997,7,45,39,164,3,25,291,1101,346,1331,20,90,37,143,95,304,156,534,500,1870,4,13,17,57,10,21,55,139,81,235,5,23,18,42,75,158,104,224,183,459,26,64,1215,3392
SAL50503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50507,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50508,69,141,6,16,0,10,3,40,53,235,71,305,0,8,0,3,17,66,19,73,89,373,0,0,0,12,6,35,35,99,42,145,0,3,0,0,29,65,25,69,69,212,22,50,253,781
SAL50509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50510,757,1488,15,66,207,943,17,55,710,2867,949,3935,87,356,196,730,180,562,462,1651,1410,5591,8,15,20,48,5,11,58,151,85,219,16,56,40,95,76,165,136,314,223,538,21,43,2410,7652
SAL50511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50512,37,70,0,0,0,12,0,8,12,44,15,60,0,0,0,0,0,9,0,9,21,71,0,0,0,0,0,0,4,8,4,8,0,0,0,0,3,6,8,10,14,25,4,4,67,162
SAL50513,11,26,0,0,0,3,0,0,4,18,5,22,0,0,0,5,0,0,0,5,6,23,0,0,0,4,0,3,0,0,0,11,0,0,0,0,0,5,0,5,0,13,0,0,22,60
SAL50514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50515,5,5,0,3,0,0,0,0,0,4,0,6,0,0,3,8,4,3,4,14,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30
SAL50516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50517,108,219,0,12,11,42,5,18,59,248,73,320,4,18,8,27,32,104,47,153,118,472,0,6,0,4,0,0,20,51,24,58,3,16,0,0,24,51,26,68,51,127,0,6,282,827
SAL50518,1422,2793,33,168,103,498,49,216,878,3281,1062,4162,63,266,70,232,283,895,418,1394,1485,5564,11,30,45,145,36,130,263,723,346,1031,17,60,59,124,255,558,339,737,682,1771,65,139,3652,10261
SAL50519,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,14
SAL50520,41,73,0,0,3,7,3,14,32,100,32,118,0,0,3,4,13,27,10,27,43,147,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,3,0,3,7,10,0,0,89,232
SAL50521,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL50522,1119,2192,0,12,54,244,7,31,399,1448,463,1737,30,142,76,252,106,312,212,707,681,2442,0,6,22,69,5,13,119,268,143,356,11,27,54,100,120,249,180,380,331,737,32,70,2164,5438
SAL50523,148,288,0,0,0,10,3,22,26,103,31,134,0,11,5,11,24,60,28,93,60,222,0,18,3,8,0,7,23,62,32,84,0,4,3,10,23,55,35,69,62,152,5,9,274,677
SAL50524,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
SAL50525,124,242,4,19,8,30,4,18,29,119,47,189,6,19,5,18,21,60,34,95,77,287,0,0,0,5,0,0,13,31,14,36,5,11,0,3,6,15,10,24,25,67,3,3,224,596
SAL50526,9,8,0,0,0,0,0,0,3,14,3,14,0,0,0,0,5,13,5,13,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,36
SAL50527,8,23,0,3,0,7,0,0,11,32,9,37,0,0,0,3,3,7,3,7,9,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,4,0,0,31,72
SAL50528,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL50529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50530,11,12,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,0,8,0,11,0,0,0,0,0,0,0,0,4,13,3,7,16,46
SAL50531,0,0,0,0,3,15,0,9,11,29,16,53,0,0,0,0,0,5,0,5,15,59,0,0,0,0,0,0,4,6,4,6,0,0,0,0,0,4,0,4,4,9,0,3,19,73
SAL50532,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SAL50533,262,513,8,28,38,161,10,37,136,537,186,751,30,120,34,98,68,219,133,435,319,1187,0,8,8,17,4,9,16,49,24,79,0,14,8,11,28,56,35,75,57,158,4,5,644,1868
SAL50534,541,1051,7,18,32,144,15,62,140,540,195,766,11,37,19,67,79,243,108,346,302,1112,4,30,10,35,4,30,76,217,97,301,3,12,17,34,52,107,68,156,167,451,15,34,1023,2652
SAL50535,13,17,0,0,0,9,0,0,8,16,3,22,0,0,4,10,0,4,3,9,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,17,54
SAL50536,348,693,3,17,21,113,3,28,115,426,146,585,5,25,18,56,35,91,57,173,206,756,3,27,9,24,8,26,50,136,68,214,0,13,12,27,52,113,69,148,140,360,19,42,716,1851
SAL50537,0,9,0,0,0,4,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15
SAL50538,5,8,0,0,0,6,0,4,3,9,7,17,0,0,0,0,0,3,0,3,5,21,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,13,0,6,11,46
SAL50539,44,80,0,6,5,22,3,8,21,87,25,122,0,0,0,0,12,29,12,29,35,153,0,0,0,6,0,5,4,21,6,29,0,0,0,0,3,8,4,9,11,35,0,0,92,270
SAL50540,25,62,0,6,0,3,3,45,11,55,21,117,0,0,0,0,8,19,8,19,26,135,0,12,0,0,0,5,8,21,13,33,0,0,0,0,0,13,0,13,15,42,0,5,69,244
SAL50541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50542,388,763,13,73,30,131,15,59,151,589,213,860,34,136,46,162,93,260,173,564,384,1424,0,0,3,20,0,3,24,57,30,83,3,12,3,4,27,64,33,73,63,158,3,7,841,2348
SAL50543,13,17,0,0,0,0,0,11,3,24,6,33,0,0,0,5,5,8,5,9,8,40,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,4,4,9,0,0,22,64
SAL50544,5,13,0,0,0,0,0,0,0,5,4,6,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21
SAL50545,5,13,0,0,0,0,0,0,0,16,0,16,0,0,0,6,0,4,0,7,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,38
SAL50546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50548,103,198,0,0,16,86,4,11,56,232,84,325,4,8,10,27,14,44,25,75,108,404,0,0,0,0,0,0,18,52,19,56,0,3,3,9,3,11,6,19,30,76,4,0,235,679
SAL50549,6,11,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,3,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18
SAL50550,694,1406,33,205,87,437,28,148,479,1876,627,2674,47,221,54,186,153,516,255,926,884,3599,7,57,40,172,32,120,222,601,301,945,33,103,34,87,229,522,291,713,594,1656,58,118,2232,6775
SAL50551,127,257,3,36,14,71,8,20,61,237,93,359,4,28,10,31,17,57,34,116,125,477,0,0,4,18,0,9,25,70,31,95,0,4,3,3,18,43,23,52,55,146,0,5,302,877
SAL50552,331,657,4,42,33,153,6,27,179,710,233,922,17,74,53,151,76,236,143,466,373,1388,0,0,9,19,0,5,27,67,39,93,0,10,11,19,47,111,62,137,95,230,11,17,815,2289
SAL50553,319,630,6,45,22,101,18,92,214,815,256,1054,19,73,21,68,57,171,102,311,362,1364,0,4,10,43,8,37,91,254,115,334,0,13,9,25,56,108,68,151,183,480,10,26,873,2504
SAL50554,9,10,0,0,0,0,0,0,3,11,3,11,0,5,0,3,0,0,0,4,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,33
SAL50555,4,10,0,0,0,0,0,0,0,11,0,11,0,3,0,0,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25
SAL50556,299,616,0,0,18,80,0,5,192,682,212,758,0,6,28,88,6,19,35,107,243,869,0,3,0,13,0,4,40,93,45,120,5,14,3,12,18,41,29,67,74,183,22,53,642,1718
SAL50557,112,224,0,5,10,39,6,24,75,283,94,356,0,9,11,36,17,47,31,92,124,446,0,0,4,10,3,15,19,66,28,88,0,4,5,9,12,30,20,46,47,135,3,8,289,814
SAL50558,13,21,0,3,0,0,0,8,6,24,8,33,0,5,0,0,0,12,5,14,12,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,78
SAL50559,13,26,0,0,3,19,0,0,7,26,8,43,0,0,0,3,0,0,0,3,10,44,0,0,0,0,0,0,0,6,0,6,0,0,0,0,3,6,3,6,3,6,0,0,31,81
SAL50560,9,12,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,3,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26
SAL50561,205,403,4,19,16,82,8,38,43,157,66,302,18,76,12,52,55,176,88,305,148,604,0,3,0,0,4,7,11,28,18,39,5,4,0,3,10,24,12,34,27,65,3,8,392,1086
SAL50562,45,79,5,17,4,24,3,8,38,141,49,192,0,15,11,28,5,11,17,54,69,242,0,0,0,3,0,3,5,14,12,27,0,0,0,0,5,12,9,9,17,39,0,0,128,359
SAL50563,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
SAL50564,60,121,3,20,3,28,3,11,43,167,52,229,0,0,0,9,10,27,14,34,65,265,0,0,0,4,0,0,4,11,5,19,0,0,0,0,8,17,8,17,11,28,0,5,142,422
SAL50565,4,8,0,0,0,0,0,0,3,13,3,13,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19
SAL50566,431,848,25,111,69,324,33,132,420,1630,546,2196,41,157,43,133,95,318,175,611,723,2807,8,29,35,98,20,55,174,469,234,655,17,59,25,65,82,171,130,291,356,952,21,41,1539,4643
SAL50567,63,127,0,0,0,0,0,9,9,25,10,32,0,7,0,0,3,6,6,16,11,47,0,0,0,3,0,0,3,6,3,10,0,0,0,0,0,6,0,6,3,12,0,0,81,181
SAL50568,0,5,0,0,0,0,0,0,3,5,3,4,0,0,0,0,0,4,4,5,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,9,17
SAL50569,66,123,0,0,4,18,0,9,24,90,30,116,0,0,0,4,4,21,5,27,38,139,0,0,0,5,0,0,11,29,8,31,0,0,0,0,7,16,8,16,15,43,7,3,121,317
SAL50570,0,3,0,0,0,8,0,0,0,0,0,8,0,0,0,3,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15
SAL50571,499,983,5,13,52,239,5,28,215,845,275,1118,26,112,51,155,98,310,171,575,448,1693,0,5,4,5,0,11,28,60,28,76,5,11,5,17,36,74,47,94,72,176,4,10,1022,2861
SAL50572,3,12,0,0,0,0,0,0,3,10,3,10,0,4,0,0,0,0,0,4,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25
SAL50573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50574,1747,3463,48,311,223,1105,79,394,1252,4929,1607,6739,100,434,113,366,419,1346,630,2147,2237,8884,15,78,81,288,44,168,497,1421,641,1948,39,141,65,150,416,912,520,1204,1166,3150,101,211,5248,15707
SAL50575,22,49,0,0,5,24,0,0,15,51,19,75,3,11,0,5,0,14,5,27,30,99,0,0,0,0,0,0,0,4,0,4,0,0,0,3,3,5,3,6,9,11,0,5,59,157
SAL50576,3,11,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14
SAL50577,17,35,0,0,0,10,0,3,12,31,12,42,0,0,0,3,0,0,4,9,13,50,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,3,0,3,3,3,0,0,35,88
SAL50578,17,35,0,0,0,14,0,0,3,14,9,36,0,0,6,12,0,7,6,27,14,52,0,0,0,0,0,5,0,11,7,17,0,0,0,0,0,4,0,4,6,15,0,0,44,109
